PaymentID,LoanID,CustomerID,PaymentDate,AmountPaid,PrincipalComponent,InterestComponent,LateFee,PaymentStatus,PaymentMethod,ReceiptNumber,Currency,DaysPastDue,Channel,Notes
PM00000036,L0000704,C000269,05/01/2025,45866.15158961213,211.56,81.7,0.0,Pending,WALLET,R315361,INR,60.0,BRANCH,Partial payment
PM00000037,L0004848,C003390,10-11-2024,296.3,206.8,89.5,50.0,Reversed,UPI,R230107,EUR,60.0,Agent,Manual payment
PM00000038,L0001477,C001425,2024/03/15 01:23:27,444.51,338.27,106.24,20.0,Pending,UPI,R757303,EUR,10.0,MobileApp,Auto-debit
PM00000039,L0004413,C001871,"Mar 27, 2024",61.14,18.89,42.25,20.0,failed,CASH,R635171,EUR,10.0,BRANCH,Partial payment
PM00000040,L0001082,C000235,"Jun 05, 2024",,err,84.97,0.0,Success,WALLET,R278958,USD,0.0,Branch,Waiver applied
PM00000041,L0000055,C005360,2023-12-20,409.19,173.13,236.06,20.0,Failed,CARD,R571621,INR,0.0,Branch,Partial payment
PM00000042,L0008571,C004456,18-Jan-2025 15:10,413.09,267.29,145.8,0.0,Pending,,R142060,USD,5.0,MobileApp,Waiver applied
PM00000043,L0005288,C004135,2024-06-11,487.16,259.47,227.69,0.0,SUCCESS,WALLET,R361640,USD,0.0,MobileApp,On-time
PM00000044,L0005951,C005887,27/12/2023,173.85,74.92,98.93,50.0,SUCCESS,CARD,R279568,USD,0.0,Partner,Auto-debit
PM00000045,L0009653,C005015,2024/04/04 08:21:15,358.54,257.89,100.65,50.0,Success,CARD,R891573,INR,0.0,Online,Partial payment
PM00000046,L0003652,C000148,01-17-2024,248.78,162.19,86.59,0.0,Failed,UPI,R862300,USD,0.0,Online,Manual payment
PM00000047,L0004206,C001088,26-Jun-2024 20:59,77.1,24.79,52.31,20.0,Reversed,CARD,R382736,INR,60.0,BRANCH,Waiver applied
PM00000048,L0005336,C001083,12-23-2023,78.6,50.5,28.1,0.0,SUCCESS,UPI,R269454,EUR,5.0,Branch,Manual payment
PM00000049,L0006030,C006676,01-19-2024,171.27,64.05,107.22,0.0,Failed,NETBANKING,R757287,INR,0.0,Partner,On-time
PM00000050,L0006406,C000602,16-Feb-2025 09:57,178.06,88.7,89.36,10.0,Pending,WALLET,R444013,EUR,0.0,Partner,Manual payment
PM00000051,L0007143,C002875,05-Jun-2025 00:35,204.59,82.71,121.88,0.0,SUCCESS,CASH,R110991,USD,30.0,Branch,Partial payment
PM00000052,L0005799,C000063,"Mar 25, 2025",296.92,130.0,166.92,20.0,failed,UPI,R747613,USD,10.0,Branch,On-time
PM00000053,L0009257,C003458,23/10/2024,328.43,153.54,174.89,0.0,Pending,NETBANKING,R753236,EUR,5.0,Branch,Partial payment
PM00000054,L0007446,C004749,02-03-2025,230.24,92.94,137.3,0.0,Failed,WALLET,R692910,INR,0.0,Agent,Partial payment
PM00000055,L0006676,C004599,05-05-2025,223.2,93.09,130.11,10.0,Reversed,UPI,R658578,INR,30.0,Branch,Auto-debit
PM00000056,L0006057,C007067,"Mar 13, 2024",93.34,41.36,51.98,2171.6654036015875,Success,WALLET,R760967,USD,0.0,Online,Waiver applied
PM00000057,L0002953,C000097,10-01-2025,272.96,185.92,87.04,0.0,SUCCESS,CARD,R631788,INR,30.0,Agent,Manual payment
PM00000058,L0004091,C005909,2025-07-28,137.51,75.56,61.95,0.0,Failed,CASH,R953141,INR,60.0,Branch,Partial payment
PM00000059,L0009936,C003465,2023-11-18,54.53,18.53,bad,50.0,Pending,CARD,R730801,USD,0.0,MobileApp,Partial payment
PM00000060,L0006928,C003719,"Nov 17, 2023",504.74,377.71,127.03,0.0,failed,CARD,R819572,EUR,30.0,MobileApp,Auto-debit
PM00000061,L0001457,C004652,19/08/2025,414.7,146.22,268.48,0.0,Reversed,WALLET,R931900,USD,5.0,Partner,Waiver applied
PM00000062,L0008228,C000603,05-02-2024,158.23,118.75,39.48,0.0,SUCCESS,NETBANKING,R945435,EUR,10.0,Agent,Manual payment
PM00000063,L0003749,C000119,28/05/2024,243.99,184.82,59.17,0.0,Success,CASH,R237877,INR,0.0,BRANCH,Waiver applied
PM00000064,L0003734,C007178,10-Aug-2025 15:45,112.9,69.23,43.67,0.0,Failed,NETBANKING,R259662,USD,10.0,Branch,Auto-debit
PM00000065,L0006684,C003942,08/11/2024,244.35,184.02,60.33,0.0,Failed,NETBANKING,R841112,INR,30.0,BRANCH,Manual payment
PM00000066,L0001419,C000084,14/02/2025,,198.49,100.22,50.0,Success,UPI,R368693,INR,0.0,Branch,Auto-debit
PM00000067,L0006429,C002895,16-Nov-2024 09:34,345.69,128.98,216.71,20.0,Pending,UPI,R363057,USD,60.0,Partner,On-time
PM00000068,L0007685,C001748,2024-05-07,261.37,123.37,138.0,50.0,Success,CASH,R676877,INR,60.0,Online,Partial payment
PM00000069,L0000231,C001611,03/04/2024,394.66,239.8,154.86,10.0,failed,CASH,R737056,EUR,60.0,BRANCH,Manual payment
PM00000070,L0003246,C003742,24-Oct-2025 17:19,73.33,58.34,14.99,0.0,failed,UPI,R228918,INR,60.0,Branch,On-time
PM00000071,L0009685,C001200,28-Jan-2024 14:04,188.65,90.2,98.45,0.0,Success,CASH,R917372,USD,5.0,Online,Manual payment
PM00000072,L0003603,C007878,"Jun 17, 2025",135.74,78.5,57.24,20.0,failed,CARD,R168100,USD,60.0,Branch,Waiver applied
PM00000073,L0002030,C000256,21-Apr-2024 11:20,163.53,83.41,80.12,20.0,Pending,CASH,R536619,EUR,10.0,Branch,Waiver applied
PM00000074,L0008258,C001481,2025-09-08,154.19,64.57,89.62,50.0,Failed,WALLET,R898056,USD,5.0,Agent,On-time
PM00000075,L0008262,C001755,2025-08-16,366.88,200.51,166.37,0.0,Pending,NETBANKING,R385220,INR,30.0,MobileApp,On-time
PM00000076,L0000323,C005396,2025-06-08,209.44,142.9,66.54,0.0,Pending,NETBANKING,,INR,30.0,Agent,Auto-debit
PM00000077,L0003188,C005919,2024-03-27,332.12,138.49,193.63,20.0,Reversed,NETBANKING,R623743,USD,30.0,Partner,Partial payment
PM00000078,L0009157,C005727,2024/11/23 16:44:45,313.14,172.06,141.08,10.0,SUCCESS,UPI,R388695,USD,0.0,Agent,Manual payment
PM00000079,L0007291,C002810,01-Oct-2024 20:42,241.0,150.34,90.66,0.0,failed,CARD,R464835,INR,0.0,Online,Waiver applied
PM00000080,L0009058,C001168,15/07/2025,393.05,212.75,180.3,0.0,Pending,UPI,R758626,INR,60.0,Online,Manual payment
PM00000081,L0002811,C002804,05-27-2025,377.62,130.81,246.81,20.0,SUCCESS,NETBANKING,R119860,EUR,10.0,Online,Partial payment
PM00000082,L0008314,C005726,09-Jul-2024 21:18,191.5,130.57,60.93,0.0,Failed,CASH,R982722,USD,60.0,Partner,On-time
PM00000083,L0000247,C007753,08-12-2024,86.87,52.08,34.79,10.0,SUCCESS,CASH,R659735,INR,0.0,BRANCH,Waiver applied
PM00000084,L0004450,C003157,07-23-2025,199.3,120.71,78.59,0.0,failed,UPI,R209499,INR,0.0,Partner,Waiver applied
PM00000085,L0004620,C000572,21/05/2025,205.66,x,121.29,0.0,Pending,NETBANKING,R952916,USD,30.0,BRANCH,Auto-debit
PM00000086,L0005999,C002736,06-04-2024,162.05,91.98,70.07,0.0,Failed,WALLET,R182051,INR,5.0,Online,Manual payment
PM00000087,L0001939,C007356,16-Jul-2024 02:52,444.35,161.6,282.75,50.0,Failed,NETBANKING,R542556,INR,0.0,Agent,Manual payment
PM00000088,L0007677,C007803,30/10/2025,187.92,143.59,44.33,0.0,failed,CARD,R152947,USD,30.0,Agent,On-time
PM00000089,L0004510,C003682,15/10/2024,176.02,55.04,120.98,20.0,Failed,,R631231,EUR,0.0,Online,Auto-debit
PM00000090,L0006686,C004210,2025/04/23 20:14:33,242.62,135.26,107.36,50.0,Success,CARD,R887921,INR,30.0,BRANCH,On-time
PM00000091,L0008735,C006217,29-Dec-2024 22:44,95.04,41.39,53.65,0.0,Failed,WALLET,R559358,INR,60.0,Agent,Manual payment
PM00000092,L0000570,C004668,2023/12/19 19:31:58,243.35,134.12,109.23,10.0,SUCCESS,WALLET,R205014,INR,0.0,BRANCH,Auto-debit
PM00000093,L0001226,C005802,2024-08-24,405.88,140.41,265.47,10.0,failed,WALLET,R314698,EUR,10.0,MobileApp,Waiver applied
PM00000094,L0005842,C006367,2024-10-08,341.99,254.41,87.58,0.0,Reversed,CARD,,USD,30.0,Partner,Manual payment
PM00000095,L0007185,C001695,2025-03-02,469.83,257.82,212.01,20.0,Failed,CARD,R421113,EUR,0.0,MobileApp,On-time
PM00000096,L0001169,C007914,2024/11/21 10:34:45,,144.52,40.54,0.0,failed,UPI,R895587,EUR,60.0,Branch,Waiver applied
PM00000097,L0000192,C007584,29-Mar-2024 20:54,47.38,31.34,16.04,10.0,Success,NETBANKING,R187476,USD,10.0,Branch,Waiver applied
PM00000098,L0006431,C003582,"Nov 25, 2024",142.46,61.68,80.78,0.0,SUCCESS,CARD,R282822,EUR,0.0,BRANCH,Waiver applied
PM00000099,L0007495,C004333,2024/08/23 20:27:07,144.88,106.58,38.3,10.0,failed,WALLET,R458141,EUR,30.0,Partner,Waiver applied
PM00000100,L0005480,C007404,"Jan 03, 2024",215.99,114.14,101.85,0.0,SUCCESS,UPI,,EUR,30.0,Branch,Manual payment
PM00000101,L0005363,C004355,2024/05/14 04:33:39,292.2,152.12,140.08,10.0,SUCCESS,NETBANKING,R809597,INR,0.0,BRANCH,Auto-debit
PM00000102,L0006830,C004720,2023-12-19,341.36,133.97,207.39,50.0,Pending,CARD,R652228,INR,0.0,Branch,On-time
PM00000103,L0009800,C002830,09-22-2024,0.0,0.0,0.0,50.0,Failed,NETBANKING,R371062,INR,0.0,MobileApp,Partial payment
PM00000104,L0001030,C004048,08-Jan-2024 19:35,29.4,20.89,8.51,20.0,failed,CARD,R284472,USD,10.0,BRANCH,Waiver applied
PM00000105,L0004955,C006298,08-16-2024,356.48,123.25,233.23,0.0,Pending,CARD,,INR,30.0,Agent,Partial payment
PM00000106,L0009373,C002155,2024-06-02,203.41,84.31,119.1,10.0,SUCCESS,UPI,R657558,USD,10.0,Partner,Manual payment
PM00000107,L0009964,C000416,13/09/2024,183.25,105.13,78.12,10.0,SUCCESS,NETBANKING,R766147,EUR,60.0,Online,Partial payment
PM00000108,L0008425,C004855,03-30-2025,182.01,91.37,90.64,0.0,Success,UPI,R334073,INR,5.0,BRANCH,Waiver applied
PM00000109,L0006571,C006070,16/06/2025,212.55,75.3,137.25,10.0,SUCCESS,CASH,R118997,USD,5.0,Branch,Manual payment
PM00000110,L0003792,C000105,28-Sep-2025 07:33,70.83,24.63,46.2,50.0,Pending,WALLET,R444984,INR,30.0,BRANCH,Manual payment
PM00000111,L0007921,C006718,2024/11/24 02:18:52,460.12,249.24,210.88,0.0,Pending,UPI,R980133,USD,10.0,Agent,Waiver applied
PM00000112,L0003753,C005388,29/10/2025,101.74,77.28,24.46,20.0,SUCCESS,CARD,R738334,EUR,10.0,Branch,Auto-debit
PM00000113,L0001881,C003906,"Sep 24, 2024",223.21,149.44,73.77,0.0,Success,NETBANKING,R205574,USD,60.0,BRANCH,Partial payment
PM00000114,L0008520,C001202,02-08-2024,202.36,112.71,89.65,0.0,Success,UPI,R984281,USD,0.0,MobileApp,On-time
PM00000115,L0005858,C005750,15/11/2023,169.75,105.79,63.96,0.0,Failed,WALLET,R758831,USD,0.0,Branch,Partial payment
PM00000116,L0005094,C002337,2024-12-14,400.06,313.01,87.05,50.0,SUCCESS,CARD,R132959,USD,10.0,Agent,Waiver applied
PM00000117,L0007875,C001906,28/06/2024,192.5,122.03,70.47,20.0,failed,UPI,R964721,EUR,10.0,Online,Partial payment
PM00000118,L0005451,C002184,17-Jun-2024 14:38,178.73,58.59,120.14,0.0,Success,WALLET,R342239,INR,60.0,Partner,Manual payment
PM00000119,L0008663,C000232,03/10/2024,176.69,127.97,48.72,20.0,Reversed,UPI,R124749,EUR,0.0,Agent,Partial payment
PM00000120,L0000568,C004044,03-06-2024,299.61,114.11,185.5,50.0,Success,CASH,R271746,INR,5.0,Partner,Waiver applied
PM00000121,L0007972,C001484,2024-02-09,331.4,227.32,104.08,50.0,Failed,NETBANKING,R496041,USD,60.0,Agent,On-time
PM00000122,L0005760,C002664,04-04-2025,136.47,54.64,81.83,10.0,Reversed,NETBANKING,R206373,EUR,0.0,Branch,On-time
PM00000123,L0007193,C005069,2025-08-30,408.72,252.03,156.69,0.0,Pending,CARD,R616917,EUR,60.0,Agent,Waiver applied
PM00000124,L0008456,C003767,2024-07-01,265.07,142.33,122.74,0.0,SUCCESS,NETBANKING,R774552,EUR,0.0,BRANCH,Waiver applied
PM00000125,L0002718,C002263,2024-08-11,155.87,81.41,74.46,50.0,Reversed,CARD,R878999,EUR,30.0,Online,On-time
PM00000126,L0008660,C007452,20/06/2025,243.37,167.46,75.91,0.0,Failed,UPI,R107897,INR,,Branch,Partial payment
PM00000127,L0006718,C003684,2025-07-08,296.76,178.05,118.71,10.0,Pending,CARD,R895719,INR,0.0,Agent,Waiver applied
PM00000128,L0005182,C002241,18/01/2025,255.8,186.39,69.41,0.0,SUCCESS,UPI,R750555,INR,10.0,Agent,Auto-debit
PM00000129,L0008816,C006676,04-Jul-2025 08:25,34.34,18.81,15.53,20.0,SUCCESS,CARD,R710621,INR,30.0,Branch,Partial payment
PM00000130,L0002776,C005037,09-Jul-2025 10:44,171.22,76.54,94.68,50.0,SUCCESS,CASH,R356108,EUR,5.0,MobileApp,Auto-debit
PM00000131,L0008581,C001330,06-12-2024,356.16,203.96,152.2,0.0,Success,CASH,R422781,EUR,30.0,Partner,On-time
PM00000132,L0005511,C007153,08-29-2025,465.68,294.45,171.23,0.0,SUCCESS,NETBANKING,R153725,EUR,5.0,Partner,Waiver applied
PM00000133,L0009716,C000353,13/11/2023,239.08,107.84,131.24,20.0,Failed,UPI,R145928,INR,30.0,Online,Partial payment
PM00000134,L0002812,C002650,2024-07-21,225.44,173.87,51.57,20.0,Pending,CARD,R241773,INR,0.0,Branch,Partial payment
PM00000135,L0004142,C004207,"Jul 02, 2025",222.53,96.23,126.3,20.0,SUCCESS,UPI,R593715,INR,5.0,Partner,On-time
PM00000136,L0003296,C001652,2024/01/20 18:40:45,220.74,173.3,47.44,20.0,failed,UPI,R309048,USD,0.0,Branch,Manual payment
PM00000137,L0002204,C007762,13-Mar-2024 08:12,252.09,159.42,92.67,0.0,failed,UPI,,INR,5.0,Agent,Waiver applied
PM00000138,L0007341,C001364,"May 19, 2024",529.66,358.05,171.61,20.0,Failed,WALLET,R573662,USD,0.0,MobileApp,Auto-debit
PM00000139,L0009083,C006547,2024-08-19,366.94,194.91,172.03,0.0,Failed,NETBANKING,R585060,USD,30.0,Online,Auto-debit
PM00000140,L0007356,C003354,26-Dec-2023 00:54,88.73,38.32,50.41,0.0,Failed,NETBANKING,R573866,USD,5.0,BRANCH,Waiver applied
PM00000141,L0005884,C005843,06/02/2024,287.75,210.19,77.56,50.0,Pending,CARD,R357353,INR,0.0,MobileApp,On-time
PM00000142,L0009157,C006355,05-Jan-2024 02:11,248.14,152.65,95.49,50.0,SUCCESS,UPI,R510469,EUR,60.0,Branch,Partial payment
PM00000143,L0001937,C006391,06-07-2024,407.32,231.96,175.36,0.0,SUCCESS,WALLET,R241381,USD,10.0,Online,Waiver applied
PM00000144,L0003847,C001860,2025/06/17 20:57:27,,69.03,17.39,0.0,Reversed,CARD,R427879,INR,30.0,MobileApp,Partial payment
PM00000145,L0000026,C004933,02-21-2024,224.47,115.63,108.84,0.0,Success,CASH,R780328,USD,0.0,Agent,Waiver applied
PM00000146,L0000573,C003450,"Dec 28, 2023",77.02,39.52,37.5,10.0,Reversed,WALLET,R201811,USD,0.0,Online,On-time
PM00000147,L0001167,C000138,2025-07-19,330.36,170.37,159.99,10.0,Success,NETBANKING,R279626,USD,5.0,Online,Auto-debit
PM00000148,L0004090,C000639,"Mar 31, 2025",242.8,166.72,76.08,0.0,Success,WALLET,R291818,INR,10.0,Branch,Auto-debit
PM00000149,L0000110,C004076,2025-05-26,267.72,125.74,141.98,0.0,failed,NETBANKING,R591317,EUR,0.0,Agent,Partial payment
PM00000150,L0000936,C000715,2025-04-27,224.83,103.2,121.63,0.0,Success,NETBANKING,R175355,INR,0.0,Branch,Partial payment
PM00000151,L0003364,C002357,"Jul 17, 2025",316.73,169.25,147.48,0.0,Reversed,WALLET,R740429,INR,10.0,MobileApp,Manual payment
PM00000152,L0000528,C004440,24/08/2024,322.26,172.82,149.44,10.0,Failed,NETBANKING,,USD,0.0,Branch,Partial payment
PM00000153,L0005994,C007743,2025/09/26 09:46:20,281.74,194.7,87.04,50.0,Success,CASH,R347719,INR,60.0,BRANCH,Partial payment
PM00000154,L0006898,C005193,09-23-2024,185.39,119.72,65.67,20.0,SUCCESS,CARD,R142426,EUR,60.0,BRANCH,Partial payment
PM00000155,L0009401,C003181,18-Jan-2025 09:06,202.03,122.02,80.01,0.0,Success,CARD,R582737,INR,5.0,BRANCH,Auto-debit
PM00000156,L0002509,C005472,2024/03/02 19:56:56,68.8,26.96,41.84,20.0,Pending,NETBANKING,R121376,EUR,5.0,Online,On-time
PM00000157,L0007611,C007824,12-18-2023,223.44,121.61,101.83,10.0,failed,WALLET,R736399,USD,0.0,BRANCH,Partial payment
PM00000158,L0004768,C005645,2025/10/04 12:34:59,264.71,166.62,98.09,0.0,Pending,,R855389,USD,10.0,Branch,On-time
PM00000159,L0003916,C002430,2025/05/04 10:47:38,110.74,x,52.04,0.0,Reversed,NETBANKING,R357244,USD,0.0,Agent,On-time
PM00000160,L0003789,C002850,06-02-2024,153.5,108.66,44.84,10.0,SUCCESS,UPI,R952074,INR,30.0,Agent,Waiver applied
PM00000161,L0008150,C006508,04-Jul-2024 00:26,327.71,143.34,null,10.0,Failed,NETBANKING,R753152,INR,60.0,BRANCH,On-time
PM00000162,L0007646,C005181,2024/09/06 08:53:01,378.0,217.5,160.5,20.0,Success,NETBANKING,R249728,EUR,5.0,Branch,Partial payment
PM00000163,L0008038,C004340,05-31-2024,0.0,0.0,0.0,0.0,Success,CASH,R706628,USD,-1027.3942958336104,Agent,Manual payment
PM00000164,L0007677,C000852,"Feb 18, 2024",125.1,99.52,25.58,10.0,Failed,CASH,R128981,INR,10.0,Partner,Waiver applied
PM00000165,L0003701,C000912,09-Jun-2025 01:33,151.94,92.81,59.13,0.0,Pending,WALLET,R384187,USD,5.0,Branch,Auto-debit
PM00000166,L0002215,C005796,12-26-2023,313.62,218.2,95.42,10.0,SUCCESS,NETBANKING,R653290,EUR,60.0,Online,On-time
PM00000167,L0001238,C000373,"Sep 20, 2025",443.9,161.21,282.69,0.0,SUCCESS,NETBANKING,R716375,USD,0.0,MobileApp,Partial payment
PM00000168,L0009942,C000348,2023/12/01 04:59:04,268.3,125.72,142.58,10.0,Pending,CASH,R400891,EUR,0.0,BRANCH,Partial payment
PM00000169,L0008322,C001216,2025/04/27 22:17:19,408.04,214.65,193.39,0.0,Pending,CARD,R458880,USD,60.0,Online,On-time
PM00000170,L0004206,C000685,10-19-2024,396.65,314.43,82.22,50.0,Pending,NETBANKING,R474097,INR,10.0,MobileApp,Partial payment
PM00000171,L0000063,C006954,13/05/2024,395.92,307.99,87.93,50.0,SUCCESS,NETBANKING,R118672,INR,30.0,BRANCH,Auto-debit
PM00000172,L0006460,C001924,08-Jun-2024 16:43,214.75,137.77,76.98,20.0,Failed,CASH,R787393,USD,60.0,Partner,Partial payment
PM00000173,L0006760,C002999,26-Aug-2024 00:54,267.24,144.61,122.63,0.0,SUCCESS,NETBANKING,R641809,EUR,0.0,MobileApp,Waiver applied
PM00000174,L0006948,C001540,07/02/2024,461.91,333.7,128.21,20.0,Success,CARD,R841443,USD,10.0,Online,Partial payment
PM00000175,L0007604,C003530,28/10/2025,211.5,126.91,84.59,10.0,SUCCESS,CARD,R221161,INR,5.0,Online,Partial payment
PM00000176,L0000498,C007248,05/04/2024,325.98,98.09,227.89,10.0,Pending,CARD,R593344,USD,30.0,Agent,Partial payment
PM00000177,L0001166,C007306,01-19-2025,274.38,148.34,126.04,0.0,Success,UPI,R888107,EUR,0.0,Partner,Manual payment
PM00000178,L0005292,C005997,03/05/2025,307.92,168.4,139.52,0.0,Pending,UPI,R954602,USD,30.0,Agent,On-time
PM00000179,L0003677,C007622,2024/02/17 00:04:47,0.0,0.0,0.0,0.0,Pending,CARD,R587925,EUR,5.0,BRANCH,Partial payment
PM00000180,L0006277,C005218,2024/03/04 13:47:43,141.04,47.4,93.64,10.0,Success,CASH,R163561,USD,0.0,Online,On-time
PM00000181,L0003953,C003012,18/11/2024,129.58,85.29,44.29,10.0,Failed,UPI,R666090,INR,30.0,BRANCH,Partial payment
PM00000182,L0008604,C006273,2024/07/07 05:31:27,214.98,125.2,89.78,20.0,SUCCESS,WALLET,R159464,INR,30.0,Online,On-time
PM00000183,L0001992,C006808,11-02-2025,59.9,34.11,25.79,10.0,Pending,WALLET,R970385,INR,0.0,MobileApp,Auto-debit
PM00000184,L0000579,C007918,2024/10/27 10:18:25,128.31,43.84,84.47,20.0,Failed,CASH,R323818,INR,0.0,BRANCH,On-time
PM00000185,L0000826,C004976,2025-07-08,468.61,157.81,310.8,0.0,Success,UPI,R951656,EUR,5.0,Branch,Auto-debit
PM00000186,L0001085,C005295,08-03-2025,125.61,72.98,52.63,20.0,SUCCESS,CASH,R449154,EUR,10.0,MobileApp,Manual payment
PM00000187,L0009250,C002695,"Aug 17, 2025",224.57,91.45,133.12,10.0,failed,CASH,R270030,INR,0.0,Branch,Auto-debit
PM00000188,L0008581,C004711,"Oct 23, 2025",393.59,198.94,194.65,20.0,Failed,UPI,R534075,EUR,10.0,Branch,On-time
PM00000189,L0004963,C004671,"Jul 01, 2024",298.79,173.27,125.52,20.0,Success,NETBANKING,R902562,EUR,0.0,Agent,Auto-debit
PM00000190,L0008269,C003012,08-17-2025,177.98,64.92,113.06,50.0,Pending,CARD,R438267,EUR,0.0,Partner,Partial payment
PM00000191,L0004738,C005571,17/12/2024,,138.17,209.28,10.0,SUCCESS,CARD,R632172,EUR,5.0,MobileApp,Auto-debit
PM00000192,L0006954,C007102,2025-04-01,427.34,278.66,148.68,10.0,Failed,NETBANKING,R608065,INR,10.0,Partner,Auto-debit
PM00000193,L0003248,C007623,2024/03/19 21:23:41,347.93,250.99,96.94,50.0,Reversed,UPI,R733493,USD,60.0,MobileApp,Manual payment
PM00000194,L0002347,C003864,25/02/2025,115.45,48.21,67.24,10.0,failed,CARD,R969073,INR,0.0,BRANCH,Partial payment
