Channel,City,Currency,CustomerID,Device,Discount,FraudFlag,LoanID,Merchant,PaymentMethod,ProductCategory,Quantity,Region,SKU,Timestamp,TotalAmount,TransactionID,UnitPrice
In-Store,NEW YORK,AED,CUST001364,Android,0.18,false,LN009800,BestBuy,Netbanking,Electronics,3,Mea,ELE-281824,2023-02-11,94223.35,TX006073,11132.94
In-Store,DOHA,INR,CUST004020,POS,0.28,false,LN004434,Walmart,Card,Beauty,2,apac,BEA-229190,2019-12-28,117924.38,TX007917,81891.93
Mobile,Dubai,INR,CUST009918,iOS,0.4,false,LN007460,Walmart,Upi,Grocery,1,Apac,GRO-808603,2023-09-13,28792.56,TX005933,47987.6
Mobile,bengaluru,EUR,CUST003931,Android,0.11,false,LN004763,Noon,Upi,Beauty,3,Emea,BEA-751044,2021-07-11,141955.78,TX008984,53166.96
Online,Bengaluru,EUR,CUST008913,POS,0.2,false,LN004351,Noon,Neft,Beauty,1,emea,BEA-178731,2025-05-25,86619.9,TX005184,33503.11
Mobile,toronto,EUR,CUST004114,Android,0.14,false,LN006300,Noon,Cash,Electronics,1,emea,ELE-814646,2023-02-11,76280.17,TX005158,88697.87
Online,Doha,EUR,CUST005218,POS,0,false,LN002076,Amazon,Cash,Toys,1,emea,TOY-304407,2021-04-06,35353.74,TX008688,37214.46
In-Store,london,AED,CUST004105,Web,0.1,false,LN009764,IKEA,Card,Beauty,1,MEA,BEA-688943,2020-07-25,190400.86,TX000603,9469.94
Online,Doha,AED,CUST000830,Web,0.35,false,LN004903,Carrefour,Netbanking,Home,2,Mea,HOM-245607,2022-01-11,144858.51,TX006768,111429.62
Mobile,London,USD,CUST008375,POS,0.1,false,LN000135,Noon,Card,Books,2,amer,BOO-378520,2022-05-11,62977.45,TX009413,34987.47
Online,kolkata,EUR,CUST004354,iOS,0.16,false,LN008889,Walmart,Cash,Books,2,EMEA,BOO-617061,2020-08-20,97702.18,TX003748,109913.44
Online,Toronto,EUR,CUST001561,Web,0.23,false,LN005022,Walmart,Auto-debit,Books,3,Emea,BOO-825195,2020-05-04,209919.22,TX006408,90874.12
Mobile,mumbai,USD,CUST009627,Android,0.24,false,LN004324,Flipkart,Upi,Grocery,1,Amer,GRO-896091,2022-12-27,5845.85,TX002855,7691.91
In-Store,mumbai,USD,CUST000408,POS,0.16,false,LN004292,Amazon,Cash,Books,4,Amer,BOO-593514,2023-02-11,19993.67,TX007563,29929.96
Online,MADRID,EUR,CUST004832,POS,0.23,false,LN009947,IKEA,Upi,Home,1,EMEA,HOM-939816,2023-02-11,153284.05,TX003761,108454.57
Mobile,sao paulo,USD,CUST007995,Android,0.16,false,LN002033,BestBuy,Cash,Apparel,2,amer,APP-936732,2020-02-12,11385.12,TX008689,6776.86
Mobile,london,AED,CUST002522,POS,0.21,false,LN001994,Noon,Card,Books,1,MEA,BOO-506280,2024-09-27,17319.15,TX005444,21922.97
Mobile,Ahmedabad,INR,CUST003114,Android,0.19,false,LN009694,IKEA,Cash,Electronics,3,Apac,ELE-247004,2020-10-14,17502.17,TX005271,7202.54
In-Store,CHENNAI,INR,CUST008059,Android,0.18,false,LN002930,Noon,Neft,Grocery,1,apac,GRO-307144,2023-02-11,135037.37,TX002194,41282.14
In-Store,DUBAI,INR,CUST002622,iOS,0.17,false,LN009327,IKEA,Auto-debit,Beauty,4,Apac,BEA-169714,2019-09-20,48140.97,TX002767,39535.21
In-Store,MUMBAI,AED,CUST004400,Android,0.35,false,LN004011,Carrefour,Neft,Automotive,1,Mea,AUT-240221,2021-08-13,8048.07,TX004554,12381.64
In-Store,San Francisco,USD,CUST008845,iOS,0.36,false,LN008392,DMart,Cash,Home,1,AMER,HOM-443043,2023-04-16,49614.5,TX005958,77522.66
Mobile,SAO PAULO,AED,CUST002777,POS,0.38,false,LN005767,Reliance Retail,Upi,Beauty,3,Mea,BEA-343943,2024-04-05,63970.52,TX007444,34392.75
Mobile,DUBAI,USD,CUST005468,Android,0.32,false,LN000143,Walmart,Netbanking,Home,2,amer,HOM-441392,2022-07-03,2353.04,TX004515,1730.18
Online,paris,USD,CUST001332,Web,0.13,false,LN002680,Walmart,Upi,Electronics,1,Latam,ELE-324304,2022-09-27,58506.9,TX007186,67249.31
Mobile,DUBAI,AED,CUST009389,Web,0.37,false,LN000485,Reliance Retail,Upi,Grocery,2,MEA,GRO-335612,2023-08-21,197986.61,TX009491,131227.03
Online,berlin,AED,CUST005770,POS,0.32,false,LN001816,Myntra,Auto-debit,Books,3,mea,BOO-548434,2025-03-21,16882.44,TX004199,64519.37
Mobile,berlin,USD,CUST003730,iOS,0.18,false,LN001287,Myntra,Neft,Toys,1,amer,TOY-800059,2022-06-17,102792.5,TX008141,23981.74
Mobile,Dubai,USD,CUST008176,iOS,0.15,false,LN005745,Flipkart,Neft,Home,3,Amer,HOM-560054,2021-03-24,49169.07,TX006895,136525.97
Mobile,BERLIN,USD,CUST008680,iOS,0.11,false,LN001314,IKEA,Neft,Toys,1,Latam,TOY-338690,2020-04-23,62347.09,TX007844,70052.91
Mobile,Dubai,USD,CUST000521,Web,0.26,false,LN003466,BestBuy,Upi,Toys,1,LATAM,TOY-316726,2020-12-24,57055.35,TX009101,77101.83
Mobile,ahmedabad,INR,CUST008030,Web,0.15,false,LN005037,Amazon,Auto-debit,Toys,1,apac,TOY-366469,2023-02-11,35124.06,TX001332,41322.42
Online,LONDON,AED,CUST009582,POS,0.16,false,LN005818,Flipkart,Netbanking,Books,1,MEA,BOO-375678,2022-01-19,70918.29,TX000912,84426.54
Mobile,SAO PAULO,AED,CUST005799,Web,0.19,false,LN004875,Noon,Card,Beauty,1,MEA,BEA-256315,2023-02-11,118098.13,TX008149,145800.16
In-Store,pune,AED,CUST005703,POS,0.02,false,LN006936,Flipkart,Card,Automotive,1,Mea,AUT-483651,2023-02-11,126570.07,TX005166,129153.13
In-Store,NEW YORK,INR,CUST008630,POS,0.27,false,LN009439,Myntra,Neft,Toys,1,APAC,TOY-556544,2025-05-13,62783.42,TX001988,86004.69
Mobile,sao paulo,USD,CUST004988,Web,0.01,false,LN004778,Reliance Retail,Neft,Books,3,AMER,BOO-345515,2025-03-12,87870.12,TX001701,29585.9
In-Store,madrid,EUR,CUST009434,POS,0.08,false,LN005241,BestBuy,Neft,Apparel,1,EMEA,APP-428758,2019-09-12,58487.31,TX009593,29169.71
Online,dubai,USD,CUST002228,POS,0.39,false,LN001105,IKEA,Auto-debit,Beauty,2,AMER,BEA-264575,2023-02-11,104909.19,TX003898,85991.14
Online,new york,INR,CUST006884,Web,0.27,false,LN001663,DMart,Neft,Toys,2,apac,TOY-609130,2025-10-10,90398.64,TX004651,61916.88
In-Store,Bengaluru,INR,CUST005903,POS,0.29,false,LN003779,Flipkart,Auto-debit,Beauty,1,APAC,BEA-920116,2025-05-29,34091.9,TX001463,45561.72
Mobile,HYDERABAD,USD,CUST002128,Web,0.16,false,LN008682,Amazon,Card,Beauty,2,Amer,BEA-710160,2023-02-11,159918.63,TX008039,139829.85
Mobile,Bengaluru,INR,CUST004385,Android,0.24,false,LN001334,Walmart,Card,Apparel,2,Apac,APP-110957,2025-01-01,1023.34,TX002782,673.25
Online,Doha,AED,CUST004487,POS,0.27,false,LN004012,DMart,Card,Books,1,mea,BOO-140498,2023-02-11,21396.57,TX005037,29310.37
Mobile,NEW YORK,USD,CUST008819,Android,0.26,false,LN002361,IKEA,Cash,Automotive,1,amer,AUT-709360,2023-02-11,95749.3,TX004896,129390.94
Mobile,HYDERABAD,USD,CUST001390,Web,0.09,false,LN005385,Walmart,Upi,Home,2,Latam,HOM-665313,2021-04-12,158880.85,TX002975,87297.17
Online,New York,AED,CUST003406,Web,0.13,false,LN006916,Myntra,Upi,Electronics,1,mea,ELE-369031,2025-04-30,6810.94,TX000654,7828.67
Mobile,San Francisco,USD,CUST003106,iOS,0.22,false,LN004740,Flipkart,Cash,Apparel,2,Amer,APP-992516,2023-02-11,72939.81,TX007711,46756.29
Online,san francisco,AED,CUST006336,POS,0.13,false,LN006605,Flipkart,Upi,Toys,1,MEA,TOY-392318,2022-04-13,98575.65,TX000231,113305.35
Mobile,Mumbai,EUR,CUST001079,iOS,0.07,false,LN004173,DMart,Cash,Books,1,emea,BOO-622813,2019-05-07,211213.08,TX004220,74137.15
Mobile,Berlin,USD,CUST001046,iOS,0.1,false,LN000369,Amazon,Netbanking,Beauty,3,amer,BEA-327414,2019-10-16,36364.84,TX009249,70664.11
In-Store,dubai,AED,CUST006964,iOS,0.13,false,LN008431,DMart,Auto-debit,Toys,2,MEA,TOY-695213,2023-02-11,100807.27,TX001365,57935.21
Mobile,dubai,USD,CUST004511,Web,0.18,false,LN007808,Reliance Retail,Netbanking,Apparel,0,LATAM,APP-316319,2024-10-24,198470.36,TX009630,80679.01
Online,KOLKATA,AED,CUST001923,Web,0.09,false,LN009207,Walmart,Netbanking,Automotive,1,mea,AUT-401245,2024-02-28,133281.51,TX006722,146463.2
Mobile,Bengaluru,AED,CUST008915,Web,0.14,false,LN000979,Walmart,Auto-debit,Toys,2,Mea,TOY-544861,2024-10-26,195992.65,TX007066,126729.96
In-Store,KOLKATA,USD,CUST007316,iOS,0.18,false,LN006244,Carrefour,Netbanking,Books,2,AMER,BOO-663921,2025-07-16,2115.5,TX004815,1289.94
In-Store,DUBAI,EUR,CUST000133,Android,0.09,false,LN000970,BestBuy,Card,Apparel,1,emea,APP-516967,2022-09-26,62237.39,TX002722,68392.74
Online,NEW YORK,INR,CUST009003,Web,0.19,false,LN005169,Carrefour,Neft,Home,1,apac,HOM-266692,2022-07-29,109832.87,TX000986,135596.14
In-Store,Bengaluru,INR,CUST003700,iOS,0.08,false,LN006474,Walmart,Neft,Apparel,1,APAC,APP-889683,2020-09-16,77844.49,TX002413,84613.58
In-Store,Hyderabad,EUR,CUST008731,Web,0.35,false,LN002537,Reliance Retail,Cash,Toys,3,Emea,TOY-509887,2023-01-20,51782.48,TX001509,26555.12
In-Store,KOLKATA,EUR,CUST002571,Web,0.38,false,LN004671,BestBuy,Netbanking,Toys,2,emea,TOY-904140,2023-02-11,100416.22,TX000580,80980.82
In-Store,madrid,EUR,CUST006740,Web,0.27,false,LN002287,Noon,Cash,Electronics,3,Emea,ELE-291224,2023-02-11,2157.95,TX004200,117615.75
Mobile,San Francisco,INR,CUST000792,Web,0.29,false,LN004575,Walmart,Upi,Automotive,1,APAC,AUT-172705,2019-10-03,91616.48,TX004227,129037.29
In-Store,paris,USD,CUST009160,Web,0.25,false,LN007139,IKEA,Upi,Books,1,AMER,BOO-538596,2023-02-11,106897.11,TX004590,142529.48
In-Store,mumbai,USD,CUST004597,POS,0.39,false,LN009728,Flipkart,Upi,Electronics,1,latam,ELE-616992,2023-02-11,23134.66,TX001389,37925.68
In-Store,doha,USD,CUST008176,Android,0.02,false,LN005745,Reliance Retail,Cash,Beauty,3,Amer,BEA-564477,2025-03-11,49227.75,TX009668,96700.81
Online,London,INR,CUST001859,POS,0.37,false,LN009590,Reliance Retail,Netbanking,Grocery,1,APAC,GRO-394097,2025-08-26,88720.91,TX009500,140826.84
Online,mumbai,INR,CUST003028,iOS,0.19,true,LN001266,BestBuy,Auto-debit,Beauty,5,Apac,BEA-601248,2023-02-11,182649.45,TX005202,45098.63
Online,LONDON,USD,CUST005367,Web,0.18,false,LN001388,Noon,Netbanking,Toys,2,amer,TOY-319585,2023-07-10,210322.51,TX005960,128245.43
Online,Bengaluru,EUR,CUST000989,Web,0.02,false,LN002431,DMart,Auto-debit,Apparel,1,Emea,APP-619191,2024-01-19,25197.04,TX006482,25711.27
In-Store,TORONTO,INR,CUST009159,Android,0.2,false,LN009685,Myntra,Auto-debit,Apparel,2,apac,APP-383906,2020-07-01,886.26,TX005292,108600.71
In-Store,Kolkata,USD,CUST002999,POS,0.28,false,LN006497,Amazon,Cash,Books,4,latam,BOO-207438,2023-02-11,62237.3,TX004115,52908.23
In-Store,ahmedabad,EUR,CUST005717,Web,0.09,false,LN001060,BestBuy,Netbanking,Home,2,Emea,HOM-955011,2024-12-31,130971.59,TX005088,71962.41
Mobile,ahmedabad,USD,CUST009424,POS,0.21,false,LN000721,Carrefour,Cash,Beauty,2,AMER,BEA-889155,2019-04-23,220461.86,TX008757,139532.82
Online,madrid,EUR,CUST002409,iOS,0.18,false,LN009053,Walmart,Auto-debit,Toys,1,EMEA,TOY-971791,2025-07-28,47093.17,TX007331,57430.69
Online,KOLKATA,USD,CUST009589,Web,0.11,false,LN007737,Noon,Card,Apparel,1,LATAM,APP-789518,2022-01-31,18790.52,TX005350,21112.94
Online,CHENNAI,AED,CUST003581,Android,0.4,false,LN007984,IKEA,Auto-debit,Books,1,Mea,BOO-999910,2020-02-02,52124.24,TX006208,86873.74
In-Store,paris,EUR,CUST008534,Android,0.32,false,LN000424,DMart,Neft,Toys,1,emea,TOY-163258,2019-04-25,45950.82,TX000064,67574.74
Mobile,Doha,AED,CUST000252,iOS,0.27,false,LN008393,Carrefour,Auto-debit,Automotive,4,mea,AUT-867140,2024-09-13,59552.96,TX001829,64279.52
In-Store,san francisco,USD,CUST007144,POS,0.01,false,LN005929,Flipkart,Card,Grocery,1,Amer,GRO-401156,2025-09-17,95045.57,TX004185,114955.35
Online,hyderabad,INR,CUST008385,POS,0.01,false,LN009844,Amazon,Upi,Automotive,0,APAC,AUT-731120,2024-08-27,39807.81,TX007082,80352.65
Mobile,Pune,AED,CUST000090,Web,0.14,false,LN003311,BestBuy,Cash,Beauty,1,mea,BEA-632629,2019-09-10,12891.15,TX008098,14989.71
In-Store,Berlin,USD,CUST007857,Android,0.14,false,LN001942,BestBuy,Card,Grocery,0,Latam,GRO-928218,2023-02-11,49628.83,TX002469,57707.94
Online,dubai,USD,CUST008773,POS,0.27,false,LN005901,Reliance Retail,Neft,Beauty,1,amer,BEA-582698,2019-10-29,106760.59,TX003104,146247.38
In-Store,bengaluru,AED,CUST008168,Android,0.06,false,LN001786,BestBuy,Card,Grocery,1,MEA,GRO-321887,2024-05-20,50908.64,TX007197,54158.13
In-Store,MUMBAI,USD,CUST005307,POS,0.39,false,LN002208,Walmart,Card,Beauty,5,Amer,BEA-402349,2023-02-11,232545.39,TX008569,76244.39
Mobile,delhi,INR,CUST000989,Web,0.14,true,LN001341,Amazon,Upi,Automotive,1,Apac,AUT-937177,2020-07-24,75315.75,TX002049,87576.45
In-Store,pune,USD,CUST005435,iOS,0.08,false,LN000070,BestBuy,Netbanking,Beauty,1,LATAM,BEA-563683,2019-08-13,111343.08,TX007732,0
Mobile,PARIS,USD,CUST003339,Web,0.12,false,LN001576,Carrefour,Auto-debit,Automotive,1,amer,AUT-211246,2019-11-19,16997.3,TX008254,19315.11
Online,DUBAI,AED,CUST008381,iOS,0.08,false,LN006108,Amazon,Upi,Grocery,3,mea,GRO-744372,2022-04-09,123137.65,TX001848,44615.09
In-Store,london,USD,CUST003333,POS,0.08,false,LN002229,Noon,Cash,Apparel,1,latam,APP-608840,2021-04-23,9002.83,TX000259,9785.68
In-Store,AHMEDABAD,USD,CUST003836,POS,0.15,false,LN004293,Myntra,Card,Apparel,1,Amer,APP-496667,2023-02-11,101240.24,TX006273,119106.16
Online,Madrid,USD,CUST001066,POS,0.11,false,LN000419,Amazon,Cash,Apparel,1,Amer,APP-697097,2024-03-07,191337.21,TX005484,4084.2
In-Store,madrid,INR,CUST000026,Android,0.38,false,LN004613,IKEA,Auto-debit,Beauty,2,Apac,BEA-948594,2023-02-11,34681.13,TX004309,27968.65
Online,CHENNAI,AED,CUST009515,Web,0.29,false,LN007101,Myntra,Upi,Books,1,MEA,BOO-246774,2021-11-11,15532.85,TX008607,21877.26
Mobile,pune,INR,CUST002149,iOS,0.15,false,LN009570,Reliance Retail,Auto-debit,Toys,2,apac,TOY-209705,2023-02-11,143560.17,TX007970,141790.1
In-Store,PARIS,USD,CUST003518,Web,0,false,LN003650,Walmart,Auto-debit,Apparel,1,latam,APP-724792,2019-03-08,10619.97,TX002905,10619.97
In-Store,Sao Paulo,AED,CUST007392,Web,0.04,false,LN006687,BestBuy,Card,Apparel,2,Mea,APP-684665,2020-05-17,6805.34,TX001983,79249.71
Mobile,MADRID,USD,CUST002626,Android,0.27,false,LN001366,IKEA,Upi,Apparel,3,latam,APP-846082,2023-12-19,155722.51,TX005208,132462.4
In-Store,Berlin,USD,CUST000989,Web,0.3,false,LN001341,Amazon,Auto-debit,Toys,1,Latam,TOY-759274,2021-01-27,0,TX007875,75982.3
Online,delhi,USD,CUST006284,POS,0.29,false,LN001019,Carrefour,Card,Electronics,1,AMER,ELE-689085,2023-12-16,170384.48,TX009683,72035.04
In-Store,doha,AED,CUST000395,POS,0.34,false,LN004835,Flipkart,Netbanking,Apparel,3,Mea,APP-643932,2023-02-11,242855.95,TX007555,122654.52
Mobile,Sao Paulo,EUR,CUST000778,Web,0.1,false,LN008485,Flipkart,Neft,Apparel,1,emea,APP-616520,2025-07-15,23595.1,TX001765,26216.78
In-Store,SAN FRANCISCO,INR,CUST000755,Android,0.33,false,LN004252,BestBuy,Neft,Grocery,2,Apac,GRO-582596,2023-12-09,175259.15,TX004941,130790.41
Mobile,new york,AED,CUST001046,Web,0.07,false,LN006837,DMart,Auto-debit,Electronics,1,MEA,ELE-278951,2020-11-15,9668.48,TX005440,10396.22
In-Store,Madrid,USD,CUST001774,Web,0.3,false,LN001134,Myntra,Neft,Apparel,1,LATAM,APP-332076,2023-02-11,76205.56,TX005642,108865.09
In-Store,hyderabad,USD,CUST007289,iOS,0.04,false,LN003211,Reliance Retail,Netbanking,Apparel,1,Latam,APP-484890,2023-02-11,64412.04,TX006617,67095.88
Mobile,doha,USD,CUST001109,Android,0.2,false,LN004160,DMart,Cash,Apparel,4,AMER,APP-345996,2020-09-01,187504.93,TX009204,58595.29
In-Store,Paris,USD,CUST003950,iOS,0.27,false,LN008174,Carrefour,Cash,Books,3,Latam,BOO-663839,2023-02-11,41660.48,TX006920,19023.05
In-Store,mumbai,USD,CUST005230,Web,0.02,false,LN008993,BestBuy,Netbanking,Books,1,Amer,BOO-294884,2024-10-25,67663.3,TX007589,69044.18
In-Store,new york,EUR,CUST001548,iOS,0.21,false,LN005891,Noon,Upi,Electronics,1,Emea,ELE-941714,2023-02-11,103388.37,TX000478,85260.13
Mobile,AHMEDABAD,USD,CUST004052,POS,0.11,false,LN007265,Amazon,Upi,Beauty,1,latam,BEA-772089,2023-02-11,87662.31,TX000876,98496.98
Mobile,DELHI,AED,CUST008711,Web,0.14,false,LN009177,Reliance Retail,Cash,Electronics,1,Mea,ELE-228841,2023-02-11,15943.36,TX006927,18538.79
Mobile,LONDON,USD,CUST004060,Android,0.25,false,LN008100,Amazon,Neft,Grocery,1,AMER,GRO-977457,2024-09-05,14158.65,TX001216,28758.44
In-Store,SAO PAULO,AED,CUST008153,Web,0.2,false,LN005476,DMart,Auto-debit,Electronics,1,MEA,ELE-950189,2024-01-27,21616.38,TX005505,27020.48
Online,DELHI,USD,CUST009582,iOS,0.28,false,LN005818,Myntra,Cash,Books,1,Amer,BOO-500065,2024-05-03,3642.96,TX001483,5059.67
In-Store,PARIS,AED,CUST006969,iOS,0.39,false,LN005512,DMart,Cash,Home,1,MEA,HOM-525933,2022-10-01,20502.53,TX003156,33610.7
Mobile,toronto,EUR,CUST006240,Web,0.09,false,LN004960,Noon,Auto-debit,Automotive,1,emea,AUT-288989,2023-02-11,8428.02,TX009935,9261.56
Online,HYDERABAD,USD,CUST005956,iOS,0.24,false,LN001938,Walmart,Auto-debit,Books,2,LATAM,BOO-671769,2023-02-11,145660.82,TX004142,95829.49
Online,AHMEDABAD,EUR,CUST000286,Android,0.09,false,LN000926,BestBuy,Netbanking,Automotive,4,Emea,AUT-489416,2022-05-26,104232.16,TX005626,28635.21
Mobile,BENGALURU,USD,CUST008800,Web,0.15,false,LN003495,Walmart,Upi,Books,3,LATAM,BOO-431997,2023-05-18,3479.53,TX006092,1364.52
Mobile,delhi,USD,CUST005042,Android,0.01,false,LN003088,DMart,Cash,Apparel,1,Latam,APP-175081,2022-03-18,97604.39,TX000887,98590.29
In-Store,PARIS,AED,CUST001361,Android,0.31,false,LN001594,IKEA,Card,Electronics,3,MEA,ELE-824909,2019-03-30,114764.3,TX008699,55441.69
Online,Mumbai,AED,CUST005681,iOS,0.19,false,LN001511,Walmart,Auto-debit,Apparel,2,Mea,APP-416719,2023-02-11,103468.3,TX002280,16390.13
In-Store,sao paulo,USD,CUST007492,POS,0.23,false,LN003501,IKEA,Cash,Toys,4,Amer,TOY-417438,2022-08-12,131351.22,TX005363,42646.5
Online,Madrid,INR,CUST006850,iOS,0,false,LN004267,Carrefour,Cash,Beauty,1,Apac,BEA-406344,2024-02-07,17409.52,TX002903,17409.52
Online,KOLKATA,USD,CUST002166,POS,0.37,false,LN009565,Walmart,Upi,Books,3,AMER,BOO-660820,2021-03-12,20858.57,TX005937,71045.64
Online,BERLIN,AED,CUST003415,Web,0.31,false,LN003562,BestBuy,Card,Beauty,3,Mea,BEA-455725,2023-02-11,118170.34,TX008407,57087.12
In-Store,San Francisco,USD,CUST003868,Web,0.1,false,LN003522,Flipkart,Netbanking,Apparel,1,LATAM,APP-790679,2019-02-12,14770.48,TX006494,16411.64
Online,pune,INR,CUST001332,Web,0.29,false,LN008933,Walmart,Auto-debit,Toys,4,apac,TOY-564551,2025-07-16,117459.08,TX006621,62904.93
Online,BERLIN,USD,CUST006780,iOS,0.25,false,LN001501,BestBuy,Upi,Beauty,1,Amer,BEA-760027,2020-09-17,162835.66,TX000607,25811.15
Mobile,Paris,AED,CUST009096,Android,0.11,false,LN003924,Myntra,Cash,Electronics,1,Mea,ELE-819483,2020-10-05,110593.79,TX007107,124262.69
Mobile,doha,AED,CUST004903,POS,0.2,false,LN000540,Noon,Netbanking,Electronics,3,Mea,ELE-622766,2025-03-12,148633.99,TX008045,61930.83
Online,pune,INR,CUST008615,Web,0.15,false,LN000590,Noon,Upi,Home,5,APAC,HOM-241596,2025-02-21,126901.09,TX003188,29859.08
Mobile,MUMBAI,USD,CUST006106,Web,0.04,false,LN000656,Reliance Retail,Auto-debit,Electronics,3,Amer,ELE-180878,2023-02-11,56454.02,TX002896,19602.09
Mobile,BERLIN,EUR,CUST004822,Web,0.32,false,LN002707,Carrefour,Upi,Toys,1,EMEA,TOY-846569,2024-05-17,10849,TX006413,15954.41
Online,ahmedabad,AED,CUST005641,Android,0.34,false,LN009663,IKEA,Auto-debit,Electronics,3,Mea,ELE-642893,2020-03-24,236531.12,TX008290,119460.16
Mobile,hyderabad,USD,CUST004115,Web,0.02,false,LN003790,Walmart,Neft,Home,4,latam,HOM-954165,2020-02-16,101224.83,TX003227,25822.66
In-Store,doha,EUR,CUST008574,iOS,0.13,false,LN001980,BestBuy,Card,Beauty,4,emea,BEA-568853,2022-08-13,155622.47,TX001899,44719.1
Online,LONDON,AED,CUST000979,Android,0.15,false,LN007818,Noon,Card,Toys,3,Mea,TOY-508832,2020-11-04,62122.39,TX001310,25591.11
In-Store,Toronto,INR,CUST005558,iOS,0.37,false,LN001797,Myntra,Upi,Home,5,Apac,HOM-879899,2020-02-25,250015.34,TX009661,79369.95
In-Store,london,INR,CUST000395,POS,0.12,false,LN000094,BestBuy,Cash,Automotive,1,APAC,AUT-663043,2020-08-22,145379.24,TX007869,23523.18
In-Store,delhi,EUR,CUST000126,POS,0.19,false,LN006229,BestBuy,Card,Automotive,2,emea,AUT-610869,2022-05-13,229492,TX005895,141661.73
Mobile,Ahmedabad,USD,CUST005728,iOS,0.01,true,LN000181,Amazon,Upi,Electronics,1,Amer,ELE-896580,2020-04-01,51123.35,TX005191,51639.75
Mobile,Chennai,USD,CUST009800,Android,0.07,false,LN009518,Myntra,Neft,Automotive,2,LATAM,AUT-245625,2021-04-06,143358.26,TX001741,108259.57
