LoanID,CustomerID,LoanType,PrincipalAmount,InterestRate,TermMonths,StartDate,EndDate,EMIAmount,PaymentStatus,PaymentType,LastPaymentDate,DefaultFlag
LN004573,CUST004221,Business,1516024,7.67,36,2024-04-05,2027-02-05,5000,On-time,Auto-debit,2024-06-19,0
LN004746,CUST008485,Home,1129099,11.21,36,2024-06-04,2027-04-02,41911.53,On-time,Netbanking,2024-07-09,0
LN004832,CUST000279,Personal,4210213,20.68,84,2018-01-14,2025-02-01,122677.59,On-time,Cash,2018-02-21,0
LN005163,CUST003124,Auto,181067,20.93,48,2025-07-22,2029-07-13,6930.34,Late,Netbanking,2025-09-16,1
LN005339,CUST009757,Auto,2798367,11.22,60,2022-01-25,2026-12-27,72804.18,Late,Upi,2022-04-08,0
LN005498,CUST002882,Home,4078409,20.52,36,2018-12-18,2022-01-08,183029.93,Late,Neft,2019-01-24,0
LN005548,CUST007299,Business,348594,14.35,72,2024-11-16,2030-09-21,9010.19,Late,Netbanking,2025-01-05,0
LN006153,CUST006637,Auto,637289,13.19,36,2023-12-25,2026-11-08,24707.34,On-time,Auto-debit,2024-02-19,0
LN006298,CUST003023,Business,259844,22.9,48,2018-10-17,2022-09-25,5000,On-time,Upi,2018-11-15,0
LN006429,CUST009618,Auto,1465010,8.44,12,2020-09-10,2021-10-18,132388.07,On-time,Upi,2020-10-15,0
LN006583,CUST008271,Home,1920513,23.22,60,2024-03-25,2029-02-04,69170.48,Late,Cash,2024-05-20,0
LN006988,CUST001510,Home,4598701,9.19,48,2019-12-17,2023-11-10,131024.66,On-time,Auto-debit,2020-01-28,0
LN007612,CUST005591,Education,572658,16.22,60,2017-01-31,2021-11-16,0,On-time,Card,2017-03-25,0
LN007849,CUST005201,Personal,4677860,10.71,36,2019-10-24,2022-11-28,171690.46,Late,Netbanking,2019-12-27,0
LN008141,CUST001939,Personal,2877221,22.44,24,2022-01-06,2024-01-16,173688.24,On-time,Neft,2022-03-10,0
LN008502,CUST007495,Auto,3346012,11.66,24,2017-07-28,2019-07-09,171929.25,On-time,Auto-debit,2017-09-02,0
LN008565,CUST003055,Personal,4484885,7.33,84,2021-02-07,2028-02-28,80786.66,On-time,Auto-debit,2021-04-04,0
LN008609,CUST005021,Home,10000,22.71,60,2018-06-23,2023-06-14,115879.49,On-time,Upi,2018-07-18,0
LN008763,CUST002773,Home,835025,20.53,60,2019-01-23,2023-11-09,28202.97,On-time,Auto-debit,2019-04-10,0
LN008774,CUST002118,Home,2175521,17.52,24,2024-09-25,2026-10-06,122409.31,On-time,Upi,2024-11-25,0
LN009056,CUST000573,Personal,4957916,14.97,36,2016-05-20,2019-05-30,199569.89,On-time,Netbanking,2016-07-07,1
LN009062,CUST007975,Personal,236287,7.87,24,2020-02-13,2021-12-04,11394.94,On-time,Card,2020-04-18,0
LN009731,CUST004666,Home,2913497,9.38,60,2024-05-20,2029-04-30,71332.12,Late,Card,2024-06-19,0
LN009867,CUST006497,Education,1074066,10.93,36,2020-11-08,2023-09-16,39618.12,On-time,Auto-debit,2021-01-29,0
LN009924,CUST002568,Home,2018073,10.2,36,2023-08-28,2026-09-20,73211.2,On-time,Card,2023-11-16,0
LN000162,CUST003925,Home,4102239,23.38,36,2019-02-01,2022-02-24,193876.37,On-time,Auto-debit,2019-03-10,0
LN000226,CUST006831,Personal,2951688,15.19,84,2020-09-08,2027-09-24,72502.59,On-time,Cash,2020-10-24,0
LN000362,CUST008985,Auto,1343972,14.4,36,2022-04-02,2025-04-21,53460.22,On-time,Cash,2022-06-20,0
LN000465,CUST000209,Education,3853238,9.67,20,2023-06-18,2026-04-19,138085.07,On-time,Netbanking,2023-08-12,0
LN000516,CUST008647,Personal,2911674,19.99,20,2022-12-03,2026-12-20,109163.51,On-time,Card,2023-01-22,0
LN000570,CUST009893,Education,2128554,11.17,48,2022-08-29,2026-10-06,64158.17,On-time,Upi,2022-11-05,0
LN001135,CUST008245,Home,995607,8.6,36,2022-09-24,2025-10-02,34790.93,On-time,Neft,2022-11-10,0
LN001811,CUST005763,Auto,1561721,23.57,60,2022-05-13,2027-04-18,56703.49,On-time,Netbanking,2022-06-19,0
LN001832,CUST005877,Credit Line,329198,10.54,48,2017-03-09,2021-02-11,9749.75,On-time,Neft,2017-05-15,0
LN001953,CUST006115,Home,4190427,14.37,24,2018-08-18,2020-09-22,224781.49,On-time,Upi,2018-10-27,0
LN002558,CUST004202,Auto,1314390,13.92,48,2024-10-20,2028-10-30,42630.05,On-time,Card,2024-11-17,0
LN003250,CUST007641,Personal,1093989,21.48,24,2025-10-18,2027-10-12,65165.28,On-time,Netbanking,2025-12-17,0
LN003263,CUST009044,Home,4332662,7.9,2,2016-09-16,2019-08-01,148875.08,On-time,Cash,2016-11-26,0
LN003278,CUST009216,Home,4619257,10.76,60,2017-04-23,2022-01-29,118406.95,Late,Card,2017-05-30,1
LN003313,CUST002221,Home,4087965,22.53,72,2016-08-25,2022-07-01,133528.83,On-time,Card,2016-10-13,0
LN003695,CUST003702,Business,377784,21.28,72,2025-08-29,2031-09-11,11946.37,On-time,Neft,2025-12-01,0
LN003789,CUST006881,Auto,3470870,23.72,36,2022-04-04,2025-02-21,165020.59,On-time,Upi,2022-06-03,1
LN004093,CUST007573,Home,2815442,8.88,48,2016-03-27,2020-01-23,79489.31,On-time,Auto-debit,2016-04-27,0
LN004272,CUST003704,Personal,1937887,7.29,24,2021-03-06,2023-01-30,92517.96,On-time,Netbanking,2021-04-12,0
LN004694,CUST007064,Auto,601367,19.46,48,2019-01-27,2023-02-11,22280.65,On-time,Neft,2019-04-01,0
LN005280,CUST003680,Personal,2564955,19.69,60,2019-12-27,2024-10-30,84835.89,Late,Auto-debit,2020-01-25,0
LN005440,CUST009189,Home,3228164,10.41,36,2020-04-10,2023-02-03,117675.54,On-time,Netbanking,2020-05-05,0
LN005501,CUST008972,Education,1517575,22.09,84,2018-07-03,2025-06-15,46002.4,On-time,Card,2018-08-07,0
LN005736,CUST002428,Personal,2948271,7.5,60,2025-01-18,2030-01-27,67564.54,Late,Upi,2025-04-11,0
LN005779,CUST004077,Auto,3753982,16.35,18,2025-05-17,2026-11-15,259702.56,On-time,Auto-debit,2025-08-18,0
LN005915,CUST001970,Personal,4477740,18.49,24,2020-07-01,2022-07-16,255567.01,On-time,Netbanking,2020-08-27,0
LN006044,CUST000448,Education,4749592,20,36,2017-03-13,2020-01-01,214655.17,On-time,Cash,2017-04-29,0
LN006285,CUST006409,Home,756055,6.9,12,2023-11-28,2024-10-02,67351.9,On-time,Neft,2024-02-13,0
LN006443,CUST004956,Home,3713319,8.51,18,2025-06-14,2026-10-21,232629.12,On-time,Auto-debit,2025-08-23,0
LN006470,CUST005046,Personal,3587073,21.16,60,2021-09-12,2026-06-29,123036.6,Late,Auto-debit,2021-10-15,0
LN006514,CUST005193,Home,1187454,18.14,36,2017-10-17,2020-10-07,50935.18,On-time,Upi,2017-11-19,0
LN006616,CUST009093,Personal,638257,23.06,36,2021-08-03,2024-08-15,29994.53,On-time,Neft,2021-09-03,0
LN006939,CUST006956,Home,1585955,21.42,60,2021-11-11,2026-10-07,54741.88,Missed,Upi,2021-12-24,0
LN006994,CUST001140,Personal,1882245,10.35,48,2022-01-21,2026-02-09,55447.8,On-time,Card,2022-03-16,0
LN007005,CUST009598,Home,2595463,8.28,1,2019-07-19,2022-06-11,90004.89,On-time,Upi,2019-08-19,0
LN007027,CUST009169,Credit Line,1389780,23.79,72,2021-05-31,2027-03-08,46854.89,Late,Neft,2021-08-08,0
LN007251,CUST005924,Business,203575,18.58,36,2018-06-19,2021-04-08,8806.88,On-time,Upi,2018-08-05,0
LN007423,CUST005266,Education,3834571,9.99,20,2024-12-06,2028-10-12,111809.7,On-time,Cash,2025-02-18,0
LN007469,CUST003640,Education,3717991,17.3,60,2020-04-03,2025-01-22,115567.55,On-time,Cash,2020-06-06,0
LN007472,CUST002106,Home,3920008,20,24,2025-03-08,2027-02-28,232717.81,Missed,Netbanking,2025-04-14,1
LN008105,CUST000709,Credit Line,638153,18.02,60,2025-03-09,2030-02-02,20218.81,Late,Upi,2025-05-25,0
LN008205,CUST005369,Home,2733538,20.05,36,2018-06-06,2021-06-19,121604.48,On-time,Upi,2018-08-29,0
LN008363,CUST004700,Business,197710,18.07,72,2022-07-31,2028-08-12,5723.16,On-time,Auto-debit,2022-09-14,0
LN008394,CUST004429,Credit Line,3303690,7.41,60,2021-07-25,2026-08-09,75461.79,On-time,Cash,2021-10-26,0
LN008500,CUST002693,Business,4154199,7.14,48,2021-11-15,2025-11-17,111263.3,On-time,Cash,2022-02-17,0
LN008659,CUST006878,Personal,1744974,20,72,2021-12-13,2027-12-01,39925.97,On-time,Auto-debit,2022-02-03,0
LN008751,CUST003104,Personal,3362391,8.98,36,2022-07-28,2025-08-30,5000,On-time,Upi,2022-08-22,0
LN009016,CUST008136,Personal,3902442,10.83,60,2024-09-19,2029-07-11,100260.24,Late,Neft,2024-12-16,1
LN009126,CUST007599,Personal,2066672,18.92,12,2023-02-15,2024-02-21,204807.2,Late,Auto-debit,2023-05-07,0
LN009298,CUST003247,Personal,3584282,10.22,48,2016-12-04,2020-12-24,105198.68,On-time,Neft,2017-01-24,0
LN009384,CUST007356,Education,4061695,11.14,20,2025-09-03,2027-10-20,206943.36,On-time,Card,2025-10-12,0
LN009852,CUST005747,Personal,836946,12.41,48,2024-09-25,2028-08-13,26091.79,On-time,Cash,2024-12-24,0
LN000088,CUST002934,Education,4062310,18.32,36,2023-05-20,2026-05-12,174859.88,Late,Cash,2023-07-01,0
LN000252,CUST008044,Personal,1986224,22.9,36,2016-03-08,2019-02-27,93076.66,On-time,Neft,2016-06-08,0
LN000909,CUST005117,Personal,4456583,10.79,36,2020-03-22,2023-03-30,163866.08,Late,Neft,2020-06-15,0
LN000924,CUST008508,Personal,0,15.73,48,2023-08-01,2027-09-01,149511.72,On-time,Neft,2023-10-14,0
LN001284,CUST002043,Personal,2528698,16.78,36,2018-11-09,2021-11-06,105601.24,Late,Card,2019-01-24,0
LN001436,CUST004973,Auto,2396805,15.27,48,2025-04-28,2029-06-03,80432.78,On-time,Card,2025-06-27,0
LN001530,CUST007973,Business,4100978,12.02,60,2024-11-29,2029-12-16,109427.76,Late,Card,2025-01-20,0
LN001568,CUST000307,Personal,3422071,9.12,24,2024-02-27,2026-01-21,5000,Null,Neft,2024-04-30,0
LN001845,CUST002437,Personal,3595131,11.27,48,2024-08-15,2028-08-10,108662.83,On-time,Upi,2024-10-30,0
LN002322,CUST007990,Business,2913226,22.38,24,2017-01-30,2018-12-23,175716.08,On-time,Auto-debit,2017-03-14,0
LN002538,CUST000645,Personal,4667242,11.96,36,2017-10-10,2020-08-30,176162.46,Missed,Neft,2017-11-27,1
LN002808,CUST006374,Auto,2703752,15.91,60,2024-03-17,2029-02-17,80909.78,On-time,Card,2024-04-29,0
LN002923,CUST003734,Business,2207113,17.17,48,2024-05-16,2028-05-02,77561.63,On-time,Upi,2024-07-11,0
LN002991,CUST003014,Personal,4536279,19.15,72,2017-12-09,2023-12-12,135395.33,On-time,Neft,2018-02-16,0
LN003500,CUST003920,Personal,3274361,20.74,72,2016-05-09,2022-05-06,102069.11,On-time,Neft,2016-07-09,0
LN003720,CUST003212,Education,2166243,12.98,48,2021-10-12,2025-11-12,68561.59,On-time,Cash,2021-11-29,0
LN003766,CUST007326,Auto,4666071,19.13,36,2017-08-13,2020-07-09,203998.03,On-time,Auto-debit,2017-09-07,0
LN004186,CUST007739,Home,4857024,17.55,84,2018-09-15,2025-09-02,128855.69,On-time,Card,2018-11-03,0
LN005035,CUST001557,Auto,3440905,13.13,36,2017-04-28,2020-03-05,133229.93,On-time,Auto-debit,2017-05-25,0
LN005645,CUST002622,Business,3007481,7.48,60,2019-09-07,2024-08-08,68871.31,Late,Upi,2019-10-06,0
LN006163,CUST008419,Personal,525544,14.2,60,2021-09-23,2026-08-30,14978,Late,Netbanking,2021-11-27,0
LN006551,CUST009899,Business,4545446,22.84,24,2025-09-21,2027-08-03,275908.57,On-time,Netbanking,2025-12-15,0
LN006664,CUST001176,Personal,163029,17.2,24,2016-08-19,2018-06-16,9129.62,On-time,Card,2016-11-16,0
LN006725,CUST008629,Auto,668605,14.75,60,2021-04-02,2026-04-09,19361.69,On-time,Upi,2021-05-11,0
LN006995,CUST001299,Auto,4076839,6.85,36,2023-05-20,2026-06-17,136517.48,On-time,Netbanking,2023-07-03,0
LN007583,CUST006648,Personal,3907099,21.69,72,2019-11-17,2025-12-14,124886.08,On-time,Auto-debit,2020-01-17,0
LN008387,CUST003708,Credit Line,4316127,14.51,60,2020-02-18,2024-12-19,124124.62,On-time,Upi,2020-03-17,0
LN008516,CUST009695,Home,208408,22.52,24,2025-09-05,2027-08-26,12594.79,Late,Cash,2025-11-26,0
LN008523,CUST000017,Home,2135784,15.82,48,2023-11-11,2027-09-12,72652.25,On-time,Neft,2024-02-05,0
LN008714,CUST001806,Credit Line,1215742,9.92,60,2020-03-06,2024-12-30,30312.5,On-time,Upi,2020-04-05,0
LN008987,CUST009131,Business,1926817,20.79,60,2019-12-30,2024-11-03,65495.72,On-time,Upi,2020-03-28,0
LN009114,CUST007616,Business,3676970,9.59,36,2020-08-07,2023-08-30,131523.17,On-time,Neft,2020-10-03,0
LN009304,CUST009674,Personal,1916381,16.27,24,2025-05-08,2027-04-25,105832.14,Late,Card,2025-08-05,0
LN009430,CUST006404,Personal,3526554,16.23,60,2021-06-14,2026-04-01,106472.54,Late,Card,2021-09-06,0
LN000228,CUST003591,Personal,1674011,9.92,60,2019-01-19,2024-01-18,41738.67,On-time,Auto-debit,2019-03-02,0
LN000251,CUST003444,Auto,535176,15.9,60,2025-08-27,2030-07-27,16010.68,On-time,Neft,2025-09-29,0
LN000489,CUST001060,Personal,4939641,7.09,36,2017-04-29,2020-04-02,166397.3,Late,Card,2017-07-12,0
LN000546,CUST002370,Home,805812,18.04,36,2024-03-04,2027-03-08,34497.71,On-time,Netbanking,2024-04-19,0
LN000708,CUST007190,Home,355016,21.55,36,2018-09-06,2021-09-15,16237.05,On-time,Cash,2018-10-16,0
LN000882,CUST002840,Personal,3923645,15.94,24,2024-11-05,2026-10-15,215604.29,On-time,Cash,2025-02-01,0
LN001172,CUST002591,Auto,1975991,22.15,24,2025-06-29,2027-06-12,118806.46,On-time,Netbanking,2025-09-11,0
LN001278,CUST009197,Personal,1393773,19.65,60,2020-10-16,2025-09-23,46052.58,On-time,Auto-debit,2021-01-13,0
LN001662,CUST003122,Personal,1899198,21.42,36,2022-01-20,2024-11-20,86656.18,Missed,Card,2022-04-04,1
LN001895,CUST001969,Personal,4890054,17.91,36,2022-10-24,2025-09-22,208818.89,On-time,Card,2023-01-01,0
LN001902,CUST009512,Personal,2183265,6.73,20,2021-07-22,2024-07-13,72890.73,On-time,Cash,2021-10-04,0
LN001938,CUST005956,Business,1255407,16.69,24,2021-08-31,2023-08-28,69769.24,On-time,Auto-debit,2021-09-25,0
LN001939,CUST008211,Business,2750762,16.49,24,2022-02-09,2023-12-08,152415.14,On-time,Neft,2022-03-14,0
LN001983,CUST003904,Home,3289717,7.82,36,2025-08-07,2028-07-29,112819.02,On-time,Upi,2025-09-17,1
LN001989,CUST005941,Business,2678489,19.61,48,2018-05-22,2022-04-10,99572.83,On-time,Netbanking,2018-08-13,0
LN002011,CUST006307,Education,4614202,12.19,36,2019-05-04,2022-04-10,175044.88,On-time,Auto-debit,2019-07-19,1
LN002466,CUST005699,Personal,2058449,15.36,24,2020-11-02,2022-12-17,112116.86,Late,Card,2021-01-29,0
LN002610,CUST004409,Education,223531,22.76,60,2023-03-26,2028-01-29,7965.15,Missed,Auto-debit,2023-06-12,1
LN002849,CUST007174,Auto,444001,12.74,60,2024-02-13,2029-02-14,12113.83,On-time,Neft,2024-03-22,0
LN003556,CUST003378,Business,4480666,12.2,36,2020-06-06,2023-03-29,170016.38,On-time,Netbanking,2020-07-10,0
LN003652,CUST001862,Business,2626415,23.1,48,2019-10-27,2023-10-15,105275.47,On-time,Neft,2020-01-06,0
LN003697,CUST003670,Home,3762629,12.01,24,2023-10-16,2025-12-03,194433.85,On-time,Cash,2024-01-14,0
LN003811,CUST008575,Business,4676462,10.3,24,2023-02-14,2025-03-15,234992.22,On-time,Cash,2023-04-24,0
LN003952,CUST002140,Home,1078878,22.54,84,2017-08-30,2024-09-14,33108.71,Missed,Auto-debit,2017-10-03,1
LN004065,CUST008870,Personal,3065378,9.71,24,2020-10-23,2022-12-03,152528.1,On-time,Netbanking,2020-11-17,0
LN004439,CUST004822,Auto,764819,18.56,12,2017-06-19,2018-05-15,75564.12,On-time,Netbanking,2017-07-18,0
LN004867,CUST003878,Personal,801644,18.07,36,2018-03-08,2021-02-06,34339.31,On-time,Netbanking,2018-04-24,0
LN005141,CUST002399,Auto,10000,9.22,48,2017-06-18,2021-06-03,99136.22,On-time,Cash,2017-09-16,0
LN005427,CUST000897,Auto,715925,9.93,48,2023-06-24,2027-05-24,20839.38,On-time,Card,2023-09-22,0
LN006185,CUST002921,Auto,964107,10.06,36,2025-09-18,2028-07-12,34863.18,Late,Cash,2025-12-19,0
LN006280,CUST002105,Personal,4933782,9.94,24,2022-08-25,2024-08-03,246442.41,On-time,Neft,2022-11-09,0
LN006318,CUST009525,Personal,2098237,11.72,20,2016-06-27,2020-04-10,64206.05,On-time,Auto-debit,2016-08-11,0
LN006468,CUST001125,Personal,763613,12.66,36,2022-12-24,2026-01-29,29267.59,On-time,Cash,2023-03-09,0
LN006472,CUST000136,Personal,3142902,8.35,48,2025-03-27,2029-03-14,87346.48,On-time,Upi,2025-05-30,0
LN006558,CUST001647,Business,1069057,10.47,72,2016-06-17,2022-06-16,24175.54,On-time,Card,2016-07-14,0
LN006892,CUST005304,Personal,3220200,20.45,20,2022-09-19,2024-11-05,189052.58,On-time,Auto-debit,2022-12-08,0
LN007180,CUST001856,Personal,936102,20.88,36,2017-02-17,2019-12-06,42291.01,On-time,Auto-debit,2017-04-11,0
LN007607,CUST003330,Personal,4125117,11.3,36,2016-03-22,2019-05-05,153431.44,On-time,Neft,2016-06-04,0
LN007694,CUST001390,Education,4655455,15.01,24,2017-10-31,2019-10-31,252209.27,On-time,Netbanking,2017-12-17,0
LN007887,CUST008537,Personal,2963848,22.2,36,2025-04-05,2028-03-17,137160.3,On-time,Netbanking,2025-05-14,0
LN008749,CUST009414,Home,765824,17.75,18,2017-05-12,2018-10-24,53873.59,On-time,Netbanking,2017-07-13,0
LN008909,CUST005833,Home,3924502,22,60,2025-05-22,2030-05-17,137357.57,On-time,Auto-debit,2025-08-06,0
LN008913,CUST002522,Personal,624404,9.39,24,2016-01-06,2017-12-30,30902.79,On-time,Netbanking,2016-03-21,1
LN008976,CUST001492,Home,4826703,18.22,36,2017-12-26,2020-11-16,207360.52,On-time,Netbanking,2018-03-29,0
LN009238,CUST002321,Business,361439,13.39,60,2023-01-23,2027-11-12,10057.04,On-time,Upi,2023-04-24,0
LN009361,CUST002323,Credit Line,4679626,17.58,48,2016-07-30,2020-09-01,166048.73,On-time,Neft,2016-09-12,0
LN009711,CUST002197,Personal,2851674,12.87,36,2022-08-05,2025-08-13,109797.37,Late,Neft,2022-10-10,0
LN009937,CUST009418,Home,177552,12.89,72,2025-07-07,2031-06-26,4373.2,On-time,Auto-debit,2025-09-07,1
LN009972,CUST002261,Business,3328176,13.94,48,2023-10-16,2027-09-12,107999.31,Late,Auto-debit,2023-12-11,0
LN000016,CUST003603,Home,2270520,23.39,48,2016-09-15,2020-09-05,91558.72,On-time,Netbanking,2016-12-17,0
LN000298,CUST009581,Business,4540819,14.06,36,2018-01-03,2021-01-13,179337.12,On-time,Cash,2018-03-28,0
LN000341,CUST002603,Personal,2316953,15.79,60,2021-09-11,2026-07-06,69103.12,Late,Upi,2021-11-03,0
LN000483,CUST005123,Personal,764384,23.73,60,2025-07-30,2030-06-29,27855.43,On-time,Neft,2025-10-19,0
LN000988,CUST004256,Home,912827,20.42,36,2019-10-29,2022-10-02,40889.58,On-time,Neft,2019-11-27,1
LN003049,CUST008216,Personal,4424501,14.51,84,2021-07-13,2028-04-16,106172.22,Missed,Netbanking,2021-08-13,1
LN001550,CUST001229,Personal,0,20,60,2021-10-17,2026-09-25,59430.06,On-time,Card,2021-12-28,0
LN001624,CUST005973,Personal,328875,9.94,48,2023-06-28,2027-06-28,5000,Late,Auto-debit,2023-08-11,0
LN001960,CUST002393,Personal,1778964,12.03,60,2023-07-23,2028-06-25,47483.51,On-time,Upi,2023-10-06,0
LN002305,CUST007475,Personal,1365708,14.4,20,2019-12-30,2023-10-26,44840.75,Missed,Netbanking,2020-04-01,1
LN002440,CUST007300,Education,2874645,7.25,36,2016-07-04,2019-06-30,97218.9,On-time,Upi,2016-09-19,0
LN002615,CUST007723,Personal,3210347,7.58,48,2023-08-04,2027-06-26,87160.92,On-time,Neft,2023-10-07,0
LN002654,CUST001430,Auto,3947157,10.59,60,2018-07-21,2023-06-24,100619.61,On-time,Auto-debit,2018-08-16,0
LN002673,CUST002339,Personal,2944942,7.93,20,2016-07-10,2018-06-06,142167.08,Missed,Upi,2016-09-25,1
LN002732,CUST002588,Home,1288010,15.18,60,2019-07-25,2024-08-01,37760.16,Late,Neft,2019-09-17,0
LN002867,CUST008919,Auto,2754967,8.71,12,2018-10-29,2019-09-01,249577.05,On-time,Nan,2019-01-16,1
LN002886,CUST006586,Auto,113813,14.6,24,2023-03-02,2025-03-14,6126.93,Late,Netbanking,2023-04-02,0
LN002937,CUST007493,Personal,1165285,7.14,60,2019-07-19,2024-08-18,26354.86,On-time,Netbanking,2019-09-03,1
LN002964,CUST007550,Personal,992719,13.18,48,2017-09-09,2021-07-15,31585.01,On-time,Cash,2017-12-05,0
LN003067,CUST007492,Home,4310560,13.33,24,2020-03-08,2022-03-23,227489.8,On-time,Neft,2020-05-24,0
LN003432,CUST001162,Education,161849,11.67,36,2019-05-22,2022-04-25,6069.79,On-time,Upi,2019-07-11,0
LN003600,CUST002440,Personal,4149598,10.98,36,2024-07-05,2027-07-13,153235.43,On-time,Auto-debit,2024-08-18,0
LN004058,CUST003505,Auto,1781885,7.34,36,2019-11-26,2022-12-18,60396,On-time,Neft,2020-02-07,0
LN004336,CUST006752,Home,2047446,22.78,24,2024-07-13,2026-07-14,124177.6,Late,Netbanking,2024-08-18,0
LN004383,CUST003803,Auto,2327567,9.81,36,2022-08-07,2025-09-13,83682.5,Missed,Upi,2022-09-16,0
LN004577,CUST007482,Education,288889,13.82,36,2022-03-16,2024-12-30,11351.73,On-time,Card,2022-04-20,0
LN004618,CUST006363,Personal,10000,22.65,60,2021-12-26,2026-11-26,90686.52,On-time,Upi,2022-03-23,0
LN004725,CUST009790,Home,1285828,21.81,12,2023-03-04,2024-01-12,130522.26,On-time,Netbanking,2023-04-03,0
LN004907,CUST003652,Personal,1871721,20.35,36,2018-06-08,2021-07-04,83733.52,Missed,Neft,2018-07-26,1
LN005007,CUST006219,Credit Line,3660827,19.15,48,2021-12-29,2025-10-29,134687.93,On-time,Auto-debit,2022-03-19,0
LN005331,CUST004097,Home,1388705,13.67,48,2017-09-07,2021-10-05,44751.02,On-time,Auto-debit,2017-11-23,0
LN005370,CUST000199,Auto,3071193,17.78,60,2022-01-22,2026-10-29,96691.39,On-time,Upi,2022-03-05,0
LN005525,CUST004663,Business,939462,7.19,24,2021-07-28,2023-08-21,44773.19,On-time,Auto-debit,2021-09-07,0
LN005654,CUST005506,Personal,3185022,16.31,24,2022-07-15,2024-07-11,175999.01,On-time,Auto-debit,2022-10-12,0
LN005913,CUST001042,Personal,3019928,9.26,48,2024-05-30,2028-06-14,86218.94,On-time,Cash,2024-08-26,0
LN005959,CUST002684,Home,3911963,12.64,60,2020-08-27,2025-09-15,106405.39,On-time,Cash,2020-11-26,0
LN006101,CUST009865,Personal,1251179,23.8,48,2017-03-17,2021-04-10,5000,On-time,Cash,2017-06-02,0
LN006237,CUST000494,Personal,3155395,9,60,2023-10-26,2028-09-18,76255.38,On-time,Upi,2024-01-10,0
LN006735,CUST002000,Personal,1579848,18.06,24,2020-09-20,2022-07-30,89603.71,On-time,Auto-debit,2020-10-17,0
LN006755,CUST000629,Personal,2810488,7.87,18,2021-05-29,2022-12-08,174570.34,Late,Card,2021-07-16,0
LN006819,CUST003425,Personal,2479771,16.91,48,2019-04-15,2023-01-27,86606,Late,Card,2019-06-19,0
LN006980,CUST003821,Personal,4546183,23.84,48,2019-12-08,2023-09-26,185029.65,On-time,Neft,2020-03-10,0
LN007210,CUST003616,Home,2401046,11.63,72,2024-05-15,2030-06-04,56618,Late,Auto-debit,2024-06-09,0
LN007551,CUST007526,Personal,1510147,7.12,60,2024-11-29,2029-09-20,34129.32,On-time,Cash,2025-01-09,0
LN007874,CUST005672,Personal,3660655,17.35,36,2017-08-15,2020-06-20,154611.83,On-time,Card,2017-10-19,1
LN007962,CUST001175,Personal,79555,18.61,72,2024-01-01,2029-11-13,2338.7,On-time,Neft,2024-04-04,0
LN008035,CUST000407,Business,3139779,19.54,36,2025-01-13,2028-01-29,138342.15,On-time,Auto-debit,2025-03-25,0
LN009004,CUST003104,Education,205188,10.53,48,2016-02-10,2020-01-13,6075.27,Late,Netbanking,2016-04-18,0
LN009566,CUST008558,Personal,2846958,10.51,36,2023-10-04,2026-07-24,104016.77,On-time,Card,2024-01-02,0
LN000378,CUST002019,Business,3329281,18.97,36,2025-05-28,2028-03-16,145110.41,On-time,Upi,2025-08-17,1
LN000728,CUST001103,Business,3481574,12.16,36,2023-03-10,2026-02-12,131990.34,Missed,Neft,2023-05-01,0
LN000757,CUST000447,Personal,2216562,10.54,36,2016-01-26,2019-03-01,81039.97,On-time,Card,2016-03-02,0
