LoanID,CustomerID,RegionID,Application_Date,Approval_Status,Disbursement_Date,Loan_Amount,Interest_Rate,Term_Months,Loan_Type,CreditScore_At_Application,EMI_Amount,Collateral_Type,Payment_Frequency,Channel,SourceSystem,Default_Status,Default_Date
L0000033,C005890,R0355,03-20-2025,Approved,04-05-2025,12654.47,18.74,48.0,Education Loan,651,376.64,NONE,MONTHLY,Branch,Campaign,0,
L0000034,C003422,R0381,04-06-2025,Approved,01-May-2025 14:01,13660.59,11.14,84.0,Mortgage,663,234.91,Guarantee,Monthly,Branch,Campaign,0,
L0000035,C007440,R0262,16-Jul-2023 22:40,Approved,08-05-2023,6217.27,11.15,24.0,Business Loan,712,290.21,FD,Monthly,Agent,Salesforce,0,
L0000036,C000997,R0413,"Mar 18, 2022",Pending,,6762.73,10.68,84.0,Education Loan,633,114.66,Gold,Monthly,BRANCH,PartnerAPI,0,
L0000037,C002934,R0170,03-Dec-2021 22:45,Approved,,10520.2,12.34,18.0,home loan,705,643.21,Property,Monthly,Branch,CoreBank,0,
L0000038,C007316,R0333,"Dec 06, 2022",Approved,24-Dec-2022 06:10,11172.35,17.34,48.0,BUSINESS LOAN,692,324.35,Vehicle,MONTHLY,BRANCH,PartnerAPI,0,
L0000039,C007506,R0046,04-08-2025,Approved,16/05/2025,9421.31,15.69,36.0,Mortgage,,329.79,FD,Monthly,Branch,Campaign,0,
L0000040,C002851,R0425,2025-01-27,Approved,05/02/2025,8522.35,7.9,36.0,auto loan,566,266.67,Vehicle,Biweekly,Agent,Campaign,0,
L0000041,C005821,R0124,2024/08/11 15:01:27,Approved,2024-09-07,10668.65,10.83,18.0,business loan,485,644.81,NONE,Monthly,Online,CoreBank,0,
L0000042,C004539,R0149,02-23-2022,Approved,03-29-2022,10270.3,3.01,36.0,business loan,844,298.72,Guarantee,Monthly,MobileApp,Campaign,0,
L0000043,C007828,R0195,2025/04/09 19:45:38,Approved,05-18-2025,13785.87,10.02,36.0,Mortgage,641,444.96,Vehicle,Monthly,Partner,Salesforce,1,
L0000044,C004820,R0351,08-03-2021,Approved,09-04-2021,14870.46,2.5,72.0,mortgage,756,222.63,Gold,MONTHLY,Branch,PartnerAPI,0,
L0000045,C005418,R0370,2022/11/15 00:51:47,Approved,"Dec 07, 2022",,5.06,24.0,Education loan,678,241.73,Vehicle,MONTHLY,MobileApp,PartnerAPI,0,
L0000046,C000488,R0431,04-Sep-2022 00:11,Approved,"Oct 26, 2022",10155.76,18.99,60.0,mortgage,705,263.39,None,MONTHLY,BRANCH,CoreBank,0,
L0000047,C007132,R0424,09-21-2024,Approved,11-15-2024,15753.47,14.23,60.0,gold loan,771,368.44,None,Biweekly,Branch,PartnerAPI,0,
L0000048,C004245,R0092,2021-02-01,Approved,2021-02-12,7089.86,11.74,84.0,personal loan,758,124.17,None,Biweekly,MobileApp,PartnerAPI,0,
L0000049,C001659,R0498,2022-03-31,Approved,19/04/2022,12242.35,16.86,36.0,Home Loan,824,435.62,FD,Biweekly,MobileApp,Campaign,0,
L0000050,C005075,R0142,05-30-2022,Approved,06-05-2022,14207.8,4.31,12.0,Mortgage,729,1211.81,None,Monthly,BRANCH,Campaign,0,
L0000051,C000947,R0379,2020-12-28,Approved,22/02/2021,9491.61,15.0,84.0,Education Loan,755,183.16,Gold,Biweekly,MobileApp,Campaign,0,
L0000052,C002084,R0188,09-13-2024,Approved,2024-11-08,13894.79,14.12,48.0,Mortgage,727,380.53,Property,MONTHLY,MobileApp,Salesforce,0,
L0000053,C006030,R0488,"Apr 02, 2022",Approved,"May 25, 2022",6108.6,16.09,12.0,BUSINESS LOAN,796,554.5,Guarantee,Monthly,Branch,Salesforce,0,
L0000054,C007133,R0172,2025-08-17,Approved,2025-09-04,5099.95,10.8,12.0,Education Loan,600,450.27,NONE,MONTHLY,BRANCH,Campaign,0,
L0000055,C005895,R0224,"Jul 09, 2023",Approved,18-Aug-2023 15:59,14788.08,14.45,24.0,Gold Loan,646,713.17,Guarantee,MONTHLY,Agent,Campaign,0,
L0000056,C006375,R0303,05-31-2022,Approved,2022/07/14 15:50:22,8754.24,13.96,60.0,Gold loan,659,203.51,NONE,Biweekly,Branch,PartnerAPI,0,
L0000057,C001611,R0035,"Sep 06, 2023",Approved,2023-11-04,11391.06,11.93,84.0,education loan,776,200.66,Gold,Biweekly,Online,PartnerAPI,0,
L0000058,C006904,R0432,2025/02/18 16:25:11,Approved,28/02/2025,10775.59,14.09,36.0,GOLD LOAN,610,368.76,Gold,MONTHLY,BRANCH,Salesforce,0,
L0000059,C002423,R0457,"Nov 23, 2021",Approved,"Dec 26, 2021",15642.43,12.44,18.0,Home Loan,583,957.11,Gold,Biweekly,Agent,Campaign,1,
L0000060,C006040,R0280,2024/04/13 07:56:12,Approved,2024/05/10 07:56:12,10216.82,10.78,72.0,BUSINESS LOAN,599,193.32,,Biweekly,Branch,CoreBank,1,
L0000061,C005324,R0110,06/09/2021,Approved,28/09/2021,10057.83,19.11,24.0,MORTGAGE,704,507.54,NONE,MONTHLY,Agent,Campaign,0,
L0000062,C004933,R0341,2021-05-14,Approved,,10667.02,14.68,84.0,Personal Loan,650,203.93,Property,Biweekly,Branch,Campaign,0,
L0000063,C000378,R0369,07/10/2022,Rejected,,18449.56,4.45,24.0,education loan,664,804.87,None,MONTHLY,BRANCH,CoreBank,1,
L0000064,C006388,R0358,2021-10-12,Approved,15-Oct-2021 13:48,12838.26,24.4,24.0,Personal loan,691,681.34,FD,Monthly,Online,Campaign,0,
L0000065,C004497,R0166,25-Jul-2025 12:42,Approved,2025/08/26 12:42:06,15934.28,10.3,84.0,auto loan,609,267.0,NONE,MONTHLY,Branch,Salesforce,0,
L0000066,C004764,R0362,02/12/2021,Pending,,15624.31,11.26,60.0,HOME LOAN,542,341.74,NONE,Monthly,Partner,Salesforce,1,
L0000067,C006704,R0243,06-04-2024,Rejected,,10712.54,8.11,36.0,GOLD LOAN,,336.24,NONE,MONTHLY,Online,PartnerAPI,0,
L0000068,C001776,R0403,25-Jun-2025 23:55,Approved,2025-07-05,10580.89,10.16,36.0,BUSINESS LOAN,582,342.21,NONE,MONTHLY,MobileApp,CoreBank,0,
L0000069,C000424,R0299,2023/03/24 16:13:00,Approved,,11172.53,11.4,18.0,auto loan,674,678.21,Property,MONTHLY,MobileApp,CoreBank,0,
L0000070,C007799,R0493,27/02/2025,Rejected,,13149.62,15.53,72.0,PERSONAL LOAN,696,281.85,Property,Biweekly,BRANCH,Campaign,0,
L0000071,C003025,R0281,25-Dec-2023 17:19,Approved,29-Jan-2024 17:19,12427.32,13.6,84.0,mortgage,821,230.15,FD,Monthly,Branch,CoreBank,0,
L0000072,C000357,R0298,11/09/2025,Approved,2025/10/05 00:54:15,13388.65,16.35,12.0,AUTO LOAN,641,1216.98,None,Monthly,BRANCH,Campaign,0,
L0000073,C002068,R0178,"May 05, 2025",Approved,2025-06-17,4018.7,9.05,72.0,Mortgage,727,72.54,None,Monthly,Partner,Campaign,0,
L0000074,C004181,R0214,"Sep 19, 2022",Approved,10-08-2022,15376.28,15.18,60.0,HOME LOAN,718,367.26,Gold,Biweekly,MobileApp,Campaign,0,
L0000075,C006250,R0108,07-20-2025,Approved,08-06-2025,10446.29,7.02,12.0,Business Loan,710,903.98,NONE,MONTHLY,BRANCH,Campaign,0,
L0000076,C003075,R0296,2022/07/20 16:28:13,Approved,"Jul 22, 2022",9108.29,9.72,24.0,Personal loan,655,419.13,Vehicle,Biweekly,MobileApp,Salesforce,0,
L0000077,C000199,R0101,2022-10-17,Approved,10-19-2022,18491.23,13.66,72.0,auto loan,661,377.67,NONE,Biweekly,BRANCH,Salesforce,0,
L0000078,C000884,R0265,20-Aug-2025 13:33,Approved,04-Sep-2025 13:33,10272.22,12.78,36.0,Home Loan,827,345.02,Guarantee,Biweekly,Agent,Salesforce,1,
L0000079,C001803,R0356,02-28-2022,Approved,2022-03-30,10118.99,14.51,12.0,Business Loan,681,910.99,,MONTHLY,MobileApp,Salesforce,0,
L0000080,C006289,R0146,2022-01-19,Approved,04/02/2022,15074.86,12.62,48.0,Business loan,755,401.58,None,Monthly,Partner,CoreBank,0,
L0000081,C001916,R0038,28-Jul-2025 00:23,Approved,2025/07/31 00:23:05,8706.8,14.14,24.0,MORTGAGE,591,418.61,Property,MONTHLY,Online,Salesforce,0,
L0000082,C006069,R0411,2023/12/05 23:53:23,Approved,21-Dec-2023 23:53,10173.3,9.14,72.0,HOME LOAN,831,184.09,None,Biweekly,Online,CoreBank,0,
L0000083,C006946,R0058,09-12-2024,Approved,07-Nov-2024 17:13,8498.59,12.13,84.0,EDUCATION LOAN,768,150.61,Property,Monthly,Partner,Campaign,1,
L0000084,C004458,R0249,"Sep 25, 2025",Approved,"Oct 21, 2025",11674.52,12.21,24.0,MORTGAGE,732,550.71,None,MONTHLY,BRANCH,PartnerAPI,1,
L0000085,C003821,R0030,2024-05-07,Approved,06-16-2024,14895.39,10.24,36.0,BUSINESS LOAN,683,482.31,Gold,MONTHLY,Online,Salesforce,0,
L0000086,C002417,R0136,24-Feb-2025 13:52,Approved,09-Apr-2025 13:52,11423.74,7.29,12.0,Education loan,731,989.99,Gold,MONTHLY,Online,CoreBank,0,
L0000087,C004251,R0482,18/05/2022,Approved,"May 31, 2022",17538.25,14.4,12.0,PERSONAL LOAN,777,1578.01,FD,Biweekly,BRANCH,Campaign,0,
L0000088,C003548,R0359,2023-11-01,Approved,02/11/2023,6185.02,10.97,,Personal Loan,796,117.63,None,Monthly,Online,PartnerAPI,0,
L0000089,C004944,R0286,25/06/2021,Approved,2021/08/21 08:36:44,11736.85,11.79,18.0,HOME LOAN,787,714.59,Vehicle,MONTHLY,BRANCH,CoreBank,0,
L0000090,C004342,R0091,"May 19, 2024",Approved,2024/06/29 02:41:00,20012.94,5.75,24.0,Home Loan,662,884.73,FD,Monthly,Partner,Campaign,0,
L0000091,C002491,R0081,2022/09/09 18:10:43,Approved,"Oct 03, 2022",8744.21,14.02,60.0,business loan,675,203.55,FD,Monthly,Partner,Salesforce,0,
L0000092,C002294,R0313,10/11/2024,Approved,,13104.47,14.69,84.0,Home Loan,618,250.6,Vehicle,MONTHLY,Branch,PartnerAPI,0,
L0000093,C005534,R0406,2023-06-15,Approved,18/07/2023,13856.13,12.71,84.0,Gold Loan,649,249.89,Vehicle,Monthly,Agent,CoreBank,0,
L0000094,C002340,R0039,"May 04, 2023",Approved,"May 16, 2023",12072.64,9.16,48.0,Mortgage,614,301.35,NONE,MONTHLY,Branch,Campaign,1,
L0000095,C005774,R0127,05-13-2025,Approved,05-Jun-2025 23:01,16160.52,3.01,84.0,Personal Loan,754,213.61,NONE,MONTHLY,Partner,CoreBank,0,
L0000096,C007356,R0064,26-Dec-2023 06:15,Approved,19-Jan-2024 06:15,6807.19,12.37,60.0,home loan,596,152.7,Property,Monthly,Branch,Salesforce,0,
L0000097,C007752,R0435,2023-10-12,Rejected,,12489.89,12.59,84.0,Education loan,681,224.44,Property,Biweekly,MobileApp,PartnerAPI,0,
L0000098,C002058,R0042,17/12/2023,Rejected,,17018.62,13.58,60.0,Gold loan,703,61898.07683432337,Property,Monthly,BRANCH,Campaign,0,
L0000099,C000776,R0494,21-Dec-2023 11:16,Pending,,11306.69,8.57,36.0,mortgage,775,357.29,Gold,Monthly,BRANCH,CoreBank,1,
L0000100,C000914,R0154,2022-01-16,Pending,,16267.57,8.14,84.0,Mortgage,467,254.69,None,MONTHLY,Branch,CoreBank,0,
L0000101,C004691,R0380,2023/11/11 08:43:27,Approved,06-Dec-2023 08:43,8769.52,22.31,60.0,Home Loan,739,243.75,Guarantee,Biweekly,MobileApp,PartnerAPI,0,
L0000102,C004132,R0114,2023/03/19 07:10:59,Approved,29-Mar-2023 07:10,13518.37,15.4,48.0,Education loan,726,378.97,Vehicle,Monthly,BRANCH,CoreBank,0,
L0000103,C004401,R0212,02/10/2021,Approved,,13203.61,15.37,60.0,BUSINESS LOAN,633,316.68,Guarantee,Monthly,Branch,Campaign,1,
L0000104,C005865,R0197,2025-08-15,Pending,,12499.88,13.15,36.0,Auto loan,527,422.07,Vehicle,Monthly,BRANCH,CoreBank,0,
L0000105,C001771,R0447,03/06/2024,Approved,,7891.24,17.09,24.0,home loan,688,390.5,Property,Biweekly,Partner,Salesforce,0,
L0000106,C000623,R0264,02-15-2025,Approved,24-Mar-2025 13:19,8142.85,7.5,48.0,Gold Loan,572,196.89,FD,MONTHLY,MobileApp,Campaign,0,
L0000107,C007610,R0113,"Dec 21, 2020",Approved,12-27-2020,12871.03,10.98,84.0,Business Loan,707,220.25,Property,MONTHLY,MobileApp,PartnerAPI,0,
L0000108,C002786,R0273,2023-02-06,Pending,,11238.01,7.73,12.0,Home Loan,669,976.17,NONE,MONTHLY,Online,Campaign,0,
L0000109,C006172,R0008,"Dec 02, 2022",Approved,05-Jan-2023 08:10,11790.08,19.36,84.0,Home Loan,779,257.29,NONE,Biweekly,BRANCH,PartnerAPI,0,
L0000110,C005234,R0124,03-08-2022,Rejected,,13152.01,18.44,84.0,PERSONAL LOAN,596,279.83,Gold,Monthly,BRANCH,Campaign,0,
L0000111,C006295,R0089,11/11/2022,Approved,2022/11/23 08:09:53,10269.12,7.58,84.0,PERSONAL LOAN,586,157.92,FD,MONTHLY,Branch,Salesforce,0,
L0000112,C005210,R0418,01/03/2023,Approved,2023-03-19,12172.61,16.27,24.0,Education loan,562,597.58,NONE,Monthly,Online,PartnerAPI,0,
L0000113,C000554,R0087,"Mar 01, 2021",Approved,2021/04/19 00:06:04,7358.99,20.29,12.0,Education Loan,622,682.72,Gold,Monthly,Agent,CoreBank,0,
L0000114,C002867,R0099,"Jan 14, 2023",Approved,17-Feb-2023 14:26,10956.27,10.14,60.0,mortgage,690,233.54,None,MONTHLY,Online,PartnerAPI,1,
L0000115,C007783,R0426,03-24-2021,Pending,,8748.87,16.51,48.0,business loan,525,250.24,Gold,MONTHLY,Partner,Campaign,0,
L0000116,C006018,R0237,"Jul 03, 2023",Approved,07-08-2023,11900.72,15.38,36.0,mortgage,658,-79169.27095515601,Gold,Biweekly,Agent,Salesforce,0,
L0000117,C005370,R0422,"Jun 23, 2022",Approved,02-Aug-2022 07:11,11563.06,18.6,18.0,business loan,638,741.1,NONE,Biweekly,Branch,CoreBank,0,
L0000118,C004695,R0339,02-May-2021 16:14,Pending,,17452.58,9.73,24.0,Home Loan,530,803.17,NONE,MONTHLY,Online,PartnerAPI,1,
L0000119,C006954,R0327,2021/09/12 12:57:44,Rejected,,7246.52,6.77,84.0,Gold Loan,650,108.56,FD,Biweekly,Branch,PartnerAPI,0,
L0000120,C001966,R0296,2021-05-10,Approved,"May 21, 2021",15742.47,11.16,18.0,Mortgage,609,953.88,Gold,MONTHLY,MobileApp,Salesforce,0,
L0000121,C005045,R0082,10-18-2022,Approved,25-Nov-2022 03:23,8205.34,9.7,18.0,Education loan,570,491.66,NONE,Biweekly,Partner,PartnerAPI,0,
L0000122,C005294,R0041,2022/08/27 09:36:30,Approved,2022-10-02,15955.52,11.7,36.0,Home loan,755,527.67,NONE,Biweekly,MobileApp,PartnerAPI,0,
L0000123,C006473,R0392,19/03/2025,Approved,04-28-2025,6997.44,17.27,48.0,Home Loan,635,202.89,None,Monthly,BRANCH,CoreBank,0,
L0000124,C000179,R0463,2022-08-25,Approved,2022-09-05,11404.17,13.19,36.0,Personal Loan,677,385.3,Property,MONTHLY,Branch,CoreBank,0,
L0000125,C007932,R0189,20/08/2021,Approved,"Aug 23, 2021",7924.44,12.91,84.0,mortgage,590,143.77,Guarantee,Biweekly,MobileApp,Salesforce,0,
L0000126,C002776,R0137,2025/09/03 03:55:27,Rejected,,9520.97,17.85,72.0,business loan,601,216.35,NONE,MONTHLY,Partner,Campaign,0,
L0000127,C001010,R0277,2022/03/27 23:46:15,Approved,"Apr 21, 2022",13530.1,27.8,18.0,Education Loan,576,927.81,Property,MONTHLY,BRANCH,Salesforce,0,
L0000128,C002734,R0170,2022-11-26,Approved,"Dec 27, 2022",11795.69,16.03,72.0,Education loan,828,256.07,Guarantee,MONTHLY,Partner,PartnerAPI,0,
L0000129,C006163,R0441,03-Sep-2025 17:26,Approved,"Oct 05, 2025",14005.72,8.07,12.0,Mortgage,842,1218.79,Vehicle,Monthly,Agent,Campaign,0,
L0000130,C004247,R0500,2022-04-08,Approved,17-May-2022 18:23,7296.92,13.26,60.0,business loan,622,167.0,Guarantee,Monthly,Online,Campaign,0,
L0000131,C007880,R0497,01-Sep-2021 10:59,Approved,2021-10-13,7207.6,16.97,12.0,Mortgage,733,657.26,Guarantee,Monthly,Agent,PartnerAPI,0,
L0000132,C001355,R0375,25-Aug-2024 23:56,Approved,2024/10/15 23:56:33,9130.86,4.66,48.0,Education Loan,595,208.87,Property,Biweekly,MobileApp,Campaign,0,
L0000133,C003661,R0406,17/10/2023,Approved,"Nov 10, 2023",17606.62,17.61,18.0,Gold loan,627,1120.13,FD,MONTHLY,Partner,PartnerAPI,0,
L0000134,C007016,R0408,"Apr 06, 2024",Approved,2024/05/07 08:50:39,18737.62,9.61,72.0,BUSINESS LOAN,791,343.46,Property,MONTHLY,BRANCH,PartnerAPI,0,
L0000135,C003095,R0199,03-17-2024,Approved,2024-05-09,8890.71,19.08,24.0,Gold Loan,744,448.51,NONE,Biweekly,BRANCH,Campaign,0,
L0000136,C001721,R0350,27-Nov-2021 02:29,Approved,10/12/2021,11933.94,17.89,60.0,AUTO LOAN,589,302.33,FD,Monthly,MobileApp,Salesforce,0,
L0000137,C002500,R0314,2022-03-04,Approved,2022/04/07 02:49:42,10699.69,12.16,18.0,home loan,603,653.28,Property,MONTHLY,BRANCH,PartnerAPI,0,
L0000138,C003988,R0320,2022-12-05,Approved,11/12/2022,9524.8,9.35,60.0,Home Loan,693,199.34,Vehicle,Monthly,Branch,PartnerAPI,0,
L0000139,C006370,R0254,26/09/2021,Approved,09-Oct-2021 02:35,6870.68,3.62,60.0,Personal Loan,651,125.36,FD,MONTHLY,Branch,CoreBank,0,
L0000140,C000009,R0198,05-03-2024,Approved,2024-05-20,13549.67,11.13,24.0,Auto Loan,679,632.34,Property,Monthly,Partner,Salesforce,0,
L0000141,C002383,R0198,2025/10/12 17:43:40,Approved,2025-10-14,15873.48,8.4,36.0,gold loan,627,500.35,Vehicle,Monthly,BRANCH,CoreBank,0,
L0000142,C003339,R0356,04-Sep-2023 11:27,Rejected,,14573.83,9.95,84.0,auto loan,694,241.57,FD,MONTHLY,Partner,Salesforce,0,
L0000143,C002671,R0198,"Feb 11, 2022",Approved,"Mar 11, 2022",11842.41,10.07,48.0,Personal Loan,478,300.75,Guarantee,Monthly,Agent,Campaign,0,
L0000144,C002886,R0283,16/06/2023,Approved,2023/07/09 02:14:44,17147.29,16.0,72.0,Mortgage,672,371.96,Gold,Monthly,MobileApp,Salesforce,0,
L0000145,C000252,R0493,"Aug 05, 2024",Approved,14/08/2024,8276.21,18.49,84.0,AUTO LOAN,658,176.33,FD,Monthly,Online,Campaign,0,
L0000146,C005037,R0081,2025/02/11 05:32:45,Approved,03-Apr-2025 05:32,10688.94,11.48,72.0,Personal loan,555,206.09,None,MONTHLY,Partner,Campaign,0,
L0000147,C007342,R0243,2024-04-07,Approved,04/05/2024,5691.48,12.65,72.0,Mortgage,586,113.2,None,Biweekly,Online,Campaign,0,
L0000148,C002195,R0231,25-Aug-2024 09:02,Approved,10-07-2024,10814.38,10.96,,AUTO LOAN,685,184.94,Gold,MONTHLY,Agent,Campaign,0,
L0000149,C005845,R0437,2021/01/13 19:08:34,Approved,2021/01/29 19:08:34,13773.69,10.0,12.0,auto loan,714,1210.93,Guarantee,Monthly,Branch,PartnerAPI,1,2021/04/16 19:08:34
L0000150,C001395,R0204,2021/01/21 12:04:04,Approved,08-Feb-2021 12:04,17409.55,16.53,12.0,Mortgage,558,1583.95,Gold,Biweekly,Partner,Campaign,0,
L0000151,C001727,R0287,2022-06-06,Approved,30-Jul-2022 00:12,10052.11,12.91,24.0,EDUCATION LOAN,643,477.47,Vehicle,MONTHLY,Partner,Campaign,0,
L0000152,C005370,R0045,26/08/2021,Approved,2021/10/06 14:41:20,7978.85,15.35,12.0,Home Loan,686,721.48,None,Monthly,MobileApp,PartnerAPI,0,
L0000153,C004128,R0013,2025/03/10 18:15:56,Approved,03-19-2025,8867.74,10.81,84.0,MORTGAGE,571,150.95,NONE,Biweekly,BRANCH,Campaign,0,
L0000154,C004775,R0293,05-06-2021,Approved,2021-05-12,9799.51,18.08,18.0,Personal Loan,724,625.64,Vehicle,Monthly,Online,CoreBank,0,
L0000155,C000021,R0045,09-21-2022,Approved,2022/10/11 06:19:01,12161.06,16.83,72.0,personal loan,710,269.38,Gold,MONTHLY,BRANCH,PartnerAPI,0,
L0000156,C007174,R0357,03/08/2022,Approved,2022/08/26 19:34:39,11451.62,11.45,12.0,Business Loan,736,1014.52,NONE,Biweekly,BRANCH,Salesforce,0,
L0000157,C007476,R0126,20/07/2024,Approved,2024-09-15,8875.89,7.98,36.0,business loan,759,278.06,NONE,MONTHLY,Partner,Salesforce,0,
L0000158,C005301,R0324,15/10/2024,Approved,31/10/2024,9097.97,16.32,60.0,BUSINESS LOAN,617,222.79,Property,MONTHLY,Branch,Campaign,0,
L0000159,C000178,R0048,12/11/2023,Approved,27/12/2023,9598.69,9.55,12.0,Home Loan,641,841.87,Gold,Monthly,Agent,Campaign,0,
L0000160,C000556,R0416,"Feb 08, 2025",Rejected,,10698.83,10.51,,Personal loan,624,180.45,Gold,Biweekly,MobileApp,PartnerAPI,0,
L0000161,C005615,R0208,"Feb 12, 2024",Approved,02-22-2024,10805.65,13.16,72.0,personal loan,576,217.83,NONE,MONTHLY,Agent,Salesforce,0,
L0000162,C006584,R0153,2020-12-05,Approved,21/01/2021,10983.63,8.06,60.0,Personal Loan,545,223.02,Property,Monthly,MobileApp,PartnerAPI,0,
L0000163,C000573,R0298,19-Jul-2024 15:01,Approved,"Aug 12, 2024",7470.79,13.86,12.0,Personal Loan,773,670.29,,Monthly,Online,Campaign,0,
L0000164,C001219,R0388,13-Jul-2021 11:41,Approved,06/08/2021,8900.78,13.25,36.0,GOLD LOAN,601,300.98,None,Biweekly,BRANCH,Campaign,0,
